BJD - 2454833, Corrected Flux
2061.305698383, 0.977351657,
2061.326130648, 0.980322605,
2061.346562814, 0.976790836,
2061.366994879, 0.977602311,
2061.387427144, 0.976643888,
2061.407859308, 0.977251051,
2061.428291572, 0.976050543,
2061.489588061, 0.982746123,
2061.510020123, 0.980046390,
2061.530452285, 0.980338427,
2061.550884546, 0.980681928,
2061.571316707, 0.975576218,
2061.591748767, 0.978093778,
2061.612181027, 0.980064498,
2061.632613186, 0.974989587,
2061.653045246, 0.974660102,
2061.673477504, 0.974622238,
2061.693909662, 0.972623285,
2061.714341820, 0.972690388,
2061.734773977, 0.972565602,
2061.755206134, 0.972616572,
2061.775638290, 0.970216548,
2061.796070446, 0.970405996,
2061.816502602, 0.968643559,
2061.836934757, 0.971097821,
2061.857366912, 0.971963105,
2061.877798966, 0.968064704,
2061.898231220, 0.965178973,
2061.918663373, 0.964342178,
2061.939095526, 0.967770463,
2061.959527678, 0.971657158,
2061.979959830, 0.968882784,
2062.000392082, 0.970063505,
2062.041256284, 0.971519401,
2062.061688534, 0.971943072,
2062.082120584, 0.974369749,
2062.102552734, 0.972055824,
2062.122984982, 0.976820505,
2062.143417131, 0.972402099,
2062.163849179, 0.975561110,
2062.225145621, 0.975762503,
2062.245577867, 0.981951196,
2062.266010013, 0.979886382,
2062.286442058, 0.979780425,
2062.306874303, 0.981689200,
2062.327306448, 0.983422401,
2062.347738692, 0.980242662,
2062.368170736, 0.979092321,
2062.388602879, 0.982227289,
2062.409035122, 0.985778856,
2062.429467165, 0.988551173,
2062.449899307, 0.986319920,
2062.470331448, 0.982966631,
2062.490763590, 0.985468151,
2062.511195731, 0.983400161,
2062.531627871, 0.984110586,
2062.552060010, 0.982619042,
2062.572492150, 0.984293014,
2062.592924289, 0.983379017,
2062.613356428, 0.983877681,
2062.633788566, 0.984888037,
2062.654220804, 0.986127554,
2062.674652841, 0.987152834,
2062.695085078, 0.986368949,
2062.715517214, 0.986903935,
2062.735949250, 0.986351526,
2062.756381486, 0.988017200,
2062.776813621, 0.986602679,
2062.797245655, 0.987772608,
2062.817677890, 0.987820219,
2062.838110024, 0.990562424,
