BJD - 2454833, Corrected Flux
2061.305634358, 1.001920854,
2061.346498753, 1.001659107,
2061.366930800, 1.001799296,
2061.387363047, 1.001498505,
2061.407795193, 1.001485939,
2061.428227438, 1.001534755,
2061.489523873, 1.000624758,
2061.509955917, 1.000490852,
2061.530388061, 1.000422242,
2061.550820304, 1.000366123,
2061.571252446, 1.000233941,
2061.591684489, 1.000100620,
2061.612116730, 0.999853682,
2061.632548872, 0.999928182,
2061.652980913, 0.999668130,
2061.673413154, 0.999622124,
2061.693845294, 0.999224266,
2061.714277434, 0.999146879,
2061.734709573, 0.999118432,
2061.755141712, 0.998976020,
2061.775573850, 0.998826248,
2061.796005988, 0.998696373,
2061.816438125, 0.998670985,
2061.836870262, 0.998377932,
2061.857302399, 0.998432499,
2061.877734435, 0.998242885,
2061.898166671, 0.998108722,
2061.918598807, 0.998052930,
2061.939030942, 0.997887349,
2061.959463076, 0.997839346,
2061.979895210, 0.997659068,
2062.000327444, 0.997444623,
2062.020759477, 0.997393528,
2062.041191610, 0.997068573,
2062.061623843, 0.997009177,
2062.082055874, 0.996752910,
2062.102488006, 0.996546469,
2062.122920237, 0.996593804,
2062.143352368, 0.996451061,
2062.163784398, 0.996267441,
2062.225080786, 0.995804914,
2062.245513015, 0.995731838,
2062.265945143, 0.995266596,
2062.286377170, 0.995456945,
2062.306809398, 0.995455412,
2062.327241524, 0.995038168,
2062.347673751, 0.995128457,
2062.368105777, 0.994998133,
2062.388537902, 0.994862171,
2062.408970128, 0.994995757,
2062.429402152, 0.994666820,
2062.449834276, 0.994757653,
2062.470266400, 0.994526772,
2062.490698524, 0.994477331,
2062.511130647, 0.994583675,
2062.531562769, 0.994563021,
2062.551994891, 0.994612416,
2062.572427013, 0.994524661,
2062.592859134, 0.994306025,
2062.613291256, 0.994214964,
2062.633723376, 0.994325722,
2062.654155596, 0.994319084,
2062.674587615, 0.994360699,
2062.695019835, 0.994216258,
2062.715451953, 0.994167144,
2062.735883972, 0.994152137,
2062.756316189, 0.994129138,
2062.776748307, 0.994295002,
2062.817612541, 0.994594247,
2062.838044657, 0.994733161,
2062.858476673, 0.994778977,
2062.878908888, 0.994900017,
2062.899341003, 0.994931005,
2062.919773018, 0.995133233,
2062.940205232, 0.995100926,
2062.960637346, 0.995070815,
2062.981069459, 0.995426298,
2063.001501572, 0.995485145,
2063.021933684, 0.995469601,
2063.042365796, 0.995285711,
2063.062797908, 0.995602513,
2063.083230019, 0.995653216,
