BJD - 2454833, Corrected Flux
2146.452730679, 0.988476134,
2146.473162995, 0.983558162,
2146.514027324, 0.982695012,
2146.534459637, 0.978105971,
2146.554891751, 0.994446418,
2146.575323963, 0.983566139,
2146.595756276, 0.995392348,
2146.616188387, 0.985280088,
2146.657052809, 0.981744003,
2146.677485019, 0.989934341,
2146.697917328, 0.973615379,
2146.718349438, 0.995604272,
2146.738781646, 0.975597029,
2146.759213954, 0.986842461,
2146.779646161, 0.987354671,
2146.800078268, 0.989933849,
2146.820510574, 0.970996682,
2146.840942780, 0.981436338,
2146.861374886, 0.985245367,
2146.881807191, 0.988906320,
2146.902239395, 0.982410156,
2146.922671498, 0.981631154,
2146.943103802, 0.991721300,
2146.963536004, 0.976848859,
2146.983968107, 0.987652829,
2147.004400408, 0.982629617,
2147.024832609, 0.979335887,
2147.045264710, 0.983416114,
2147.065697010, 0.978853330,
2147.086129210, 0.982077962,
2147.106561409, 0.993730056,
2147.126993607, 0.983507372,
2147.147425806, 0.978441685,
2147.167858103, 0.987000316,
2147.188290200, 0.972170376,
2147.208722396, 0.990018742,
2147.229154692, 0.989267631,
2147.249586888, 0.985166305,
2147.270018982, 0.972347370,
2147.290451277, 0.977914374,
2147.310883470, 0.979596014,
2147.331315564, 0.983897795,
2147.351747857, 0.984567503,
2147.372179949, 0.975866560,
2147.392612141, 0.985716382,
2147.413044432, 1.019879935,
2147.433476522, 0.983066047,
2147.453908712, 0.987269531,
2147.494773091, 0.978736985,
2147.515205280, 0.986486212,
2147.535637568, 0.982257000,
2147.556069656, 0.971465030,
2147.576501843, 0.986763653,
2147.596934129, 0.973507612,
2147.617366316, 0.983413258,
2147.637798401, 0.984367783,
2147.658230686, 0.982445069,
2147.678662870, 0.973881581,
2147.699095054, 0.976008517,
2147.719527237, 0.980323221,
2147.739959420, 0.990024122,
2147.760391703, 0.976639185,
2147.780823785, 0.972430055,
2147.801255966, 0.965433133,
2147.821688247, 0.990614895,
2147.842120327, 0.983915307,
2147.862552507, 0.979494462,
2147.882984786, 0.974176581,
2147.903416865, 0.981848191,
2147.923849044, 0.973406485,
2147.944281321, 0.978620464,
2147.985145575, 0.979705386,
2148.005577851, 0.981177860,
2148.026009927, 0.983357733,
2148.066874377, 0.978088831,
2148.087306551, 1.004712569,
2148.107738624, 0.983353069,
2148.128170898, 0.988731392,
2148.148602970, 0.982394586,
2148.169035142, 0.975885523,
2148.189467414, 0.978980191,
2148.209899485, 0.971915721,
2148.250763925, 0.973841539,
2148.271195995, 0.984462645,
2148.291628264, 0.976330512,
2148.312060432, 0.984958817,
2148.332492500, 0.980623834,
2148.352924768, 0.978520832,
2148.373356935, 0.979549651,
2148.393789001, 0.968488409,
2148.414221267, 0.968020544,
2148.434653432, 0.979907827,
2148.475517762, 0.977724197,
