BJD - 2454833, Corrected Flux
2146.452450805, 0.996089045,
2146.472883013, 0.996058627,
2146.513747126, 0.996114701,
2146.534179332, 0.995864609,
2146.554611339, 0.996171516,
2146.575043444, 0.996175677,
2146.595475649, 0.995881298,
2146.615907653, 0.995813315,
2146.636339757, 0.995917348,
2146.656771860, 0.996121650,
2146.677203963, 0.995802186,
2146.697636165, 0.995488149,
2146.718068166, 0.995798858,
2146.738500268, 0.995894586,
2146.758932469, 0.995659243,
2146.779364569, 0.996096616,
2146.799796569, 0.996989230,
2146.820228768, 0.995604411,
2146.840660867, 0.995775787,
2146.861092865, 0.995790087,
2146.881525064, 0.995779890,
2146.901957161, 0.995666528,
2146.922389158, 0.995500206,
2146.942821354, 0.995575350,
2146.963253450, 0.995529089,
2146.983685445, 0.995509577,
2147.004117640, 0.995144504,
2147.024549735, 0.995231878,
2147.044981729, 0.995478822,
2147.065413922, 0.995154683,
2147.085846015, 0.995389135,
2147.106278107, 0.995267955,
2147.126710200, 0.995527781,
2147.147142291, 0.995164807,
2147.167574482, 0.995091753,
2147.188006472, 0.995178908,
2147.208438562, 0.995258462,
2147.228870752, 0.994829963,
2147.249302841, 0.995147944,
2147.269734830, 0.995247591,
2147.290167018, 0.994863242,
2147.310599105, 0.995281928,
2147.331031092, 0.994896362,
2147.351463279, 0.995230007,
2147.371895265, 0.995083869,
2147.392327351, 0.994987135,
2147.412759536, 0.994812614,
2147.433191521, 0.995254002,
2147.453623605, 0.995054706,
2147.494487771, 0.995121358,
2147.514919854, 0.994990642,
2147.535352036, 0.994924602,
2147.555784018, 0.994810793,
2147.576216099, 0.995157637,
2147.596648280, 0.995146151,
2147.617080360, 0.994770925,
2147.637512340, 0.994999545,
2147.657944520, 0.995032268,
2147.678376598, 0.994782196,
2147.698808676, 0.994940806,
2147.719240754, 0.994792603,
2147.739672832, 0.994800548,
2147.760105009, 0.994611826,
2147.780536985, 0.994879618,
2147.800969061, 0.994799914,
2147.821401236, 0.994788968,
2147.841833211, 0.995463852,
2147.862265286, 0.994743081,
2147.903129434, 0.994499678,
2147.923561506, 0.994469605,
2147.943993679, 0.994664215,
2147.984857723, 0.994811241,
2148.005289893, 0.994505572,
2148.025721864, 0.994611069,
2148.046153934, 0.994851326,
2148.066586104, 0.994871311,
2148.087018173, 0.994943368,
2148.107450142, 0.994863335,
2148.127882310, 0.994848863,
2148.148314278, 0.994787035,
2148.168746345, 0.995040177,
2148.189178512, 0.994498734,
2148.209610478, 0.994424716,
2148.230042543, 0.994993139,
2148.250474709, 0.994764600,
2148.270906674, 0.994706249,
2148.291338838, 0.994787884,
2148.311770902, 0.994528023,
2148.332202865, 0.994665878,
2148.352635028, 0.994372036,
2148.373067090, 0.994390079,
2148.393499053, 0.994556304,
2148.413931214, 0.994567020,
2148.434363275, 0.996288497,
2148.475227395, 0.994943182,
2148.495659455, 0.994990591,
2148.516091514, 0.994976090,
2148.536523573, 0.995022309,
2148.556955631, 0.994964466,
2148.577387689, 0.994847055,
2148.597819846, 0.994960001,
2148.618251803, 0.994781554,
2148.638683859, 0.994519081,
2148.659116014, 0.994840242,
2148.679547970, 0.994510360,
2148.699980024, 0.994726553,
2148.720412179, 0.994715722,
2148.740844133, 0.994943389,
2148.761276186, 0.994464987,
2148.781708339, 0.994386492,
2148.802140291, 0.994673692,
2148.822572343, 0.994803380,
2148.843004494, 0.994658535,
2148.863436446, 0.994750045,
2148.904300546, 0.994412496,
2148.924732596, 0.994445937,
2148.945164745, 0.994430114,
2148.965596693, 0.994332732,
2148.986028741, 0.994578598,
2149.006460889, 0.994236233,
2149.026892936, 0.994514767,
2149.047324883, 0.994569479,
2149.067757029, 0.994579633,
2149.088189075, 0.994376679,
2149.108621020, 0.994783592,
2149.149485210, 0.994817464,
2149.169917153, 0.994507567,
2149.190349297, 0.994753349,
2149.210781339, 0.994370031,
2149.231213282, 0.994602864,
2149.251645424, 0.994672364,
2149.292509507, 0.994677719,
2149.312941547, 0.994682598,
2149.333373587, 0.994923744,
2149.353805627, 0.994731903,
2149.374237666, 0.994680991,
2149.394669705, 0.994645501,
2149.415101743, 0.994797649,
2149.455965818, 0.995201485,
2149.476397955, 0.994504948,
2149.496829991, 0.994778587,
2149.517261927, 0.994722606,
2149.537694062, 0.994615190,
2149.558126097, 0.994886124,
2149.578558032, 0.994566171,
2149.598990166, 0.994418371,
2149.619422099, 0.994611945,
2149.639854132, 0.994570268,
2149.660286265, 0.994760779,
2149.680718197, 0.994864779,
2149.701150229, 0.994489948,
2149.721582360, 0.994110076,
2149.742014290, 0.994589719,
2149.762446321, 0.994971842,
2149.782878451, 0.994943939,
2149.803310380, 0.994813397,
2149.823742409, 0.994621137,
2149.844174537, 0.995079251,
2149.864606565, 0.994800011,
2149.885038492, 0.994709040,
2149.905470619, 0.994640405,
2149.946334572, 0.994577912,
2149.966766697, 0.994605624,
2149.987198722, 0.994439549,
2150.007630647, 0.994960587,
2150.028062771, 0.994913838,
2150.048494795, 0.994790732,
2150.068926918, 0.994728164,
2150.089358841, 0.994751150,
2150.109790863, 0.994486348,
2150.130222985, 0.994603703,
2150.150654907, 0.994886816,
2150.171086928, 0.994323204,
2150.191519048, 0.994568261,
2150.211950968, 0.994710979,
2150.232382988, 0.994680659,
2150.252815107, 0.994861293,
2150.273247125, 0.994769629,
2150.293679043, 0.994713487,
2150.314111161, 0.994452049,
2150.334543178, 0.994633903,
2150.354975095, 0.994804343,
2150.375407211, 0.995030549,
2150.395839127, 0.994772238,
2150.416271143, 0.994963254,
2150.436703257, 0.994825008,
2150.457135172, 0.995175625,
2150.477567186, 0.994812014,
2150.497999299, 0.994874083,
2150.518431212, 0.994902970,
2150.538863225, 0.994740916,
2150.559295337, 0.994508692,
2150.579727249, 0.994870511,
2150.600159260, 0.994968404,
2150.620591371, 0.994830666,
2150.641023281, 0.995140911,
2150.681887401, 0.994679729,
2150.702319410, 0.994048709,
2150.722751418, 0.994452087,
2150.743183426, 0.994303819,
2150.763615434, 0.994558390,
2150.784047541, 0.994410590,
2150.804479447, 0.994649867,
2150.824911453, 0.994548981,
2150.845343559, 0.994344563,
2150.865775464, 0.994489515,
2150.886207469, 0.994376850,
2150.906639574, 0.994372592,
2150.927071477, 0.994438163,
2150.947503481, 0.994708148,
2150.967935584, 0.994838984,
2150.988367486, 0.994268021,
2151.008799489, 0.994361496,
2151.029231490, 0.994478618,
2151.049663491, 0.994377761,
2151.070095492, 0.994612034,
2151.090527592, 0.993894261,
2151.131391491, 0.994556935,
2151.151823590, 0.994520385,
2151.172255488, 0.994771780,
2151.192687487, 0.994416868,
2151.213119584, 0.994622676,
2151.233551481, 0.994592593,
2151.253983578, 0.994572404,
2151.274415574, 0.994347620,
2151.294847469, 0.994695473,
2151.315279565, 0.994898539,
2151.335711559, 0.994581216,
2151.356143454, 0.994593377,
2151.376575548, 0.994641906,
2151.397007541, 0.994989458,
2151.417439434, 0.994704332,
2151.437871527, 0.994743261,
2151.458303519, 0.994712097,
2151.478735410, 0.994946703,
2151.499167502, 0.994453139,
2151.519599492, 0.994640668,
2151.540031483, 0.994562692,
2151.560463472, 0.994634047,
2151.580895462, 0.994960106,
2151.601327450, 0.994885822,
2151.621759539, 0.994861548,
2151.642191427, 0.994908547,
2151.662623414, 0.995196150,
2151.683055501, 0.994642898,
2151.703487388, 0.994775021,
2151.723919374, 0.994957691,
2151.744351460, 0.994899278,
2151.785215331, 0.995342642,
2151.805647415, 0.994871768,
2151.826079299, 0.994919672,
2151.846511282, 0.994774171,
2151.866943265, 0.995096549,
2151.907807330, 0.994806974,
2151.928239212, 0.994883807,
2151.948671193, 0.994901251,
2151.969103274, 0.994728440,
2151.989535254, 0.994884773,
2152.009967134, 0.994908209,
2152.030399213, 0.994807870,
2152.050831192, 0.995116791,
2152.071263071, 0.995161407,
2152.091695149, 0.995639837,
2152.112127127, 0.995064906,
2152.132559004, 0.995317312,
2152.152991081, 0.995290159,
2152.173423057, 0.995328479,
2152.193854933, 0.995367414,
2152.214287009, 0.995333287,
2152.255150859, 0.995313065,
2152.275582932, 0.995286961,
2152.296014906, 0.994811477,
2152.316446779, 0.994977089,
2152.336878852, 0.995519211,
2152.357310824, 0.995192105,
2152.377742796, 0.995355135,
2152.398174768, 0.995188633,
2152.418606739, 0.995503767,
2152.439038709, 0.995334785,
2152.459470780, 0.995400280,
2152.479902649, 0.995515584,
2152.500334718, 0.995328293,
2152.520766687, 0.995171149,
2152.541198556, 0.995283964,
2152.561630623, 0.995337612,
2152.582062591, 0.995244724,
2152.602494458, 0.995331235,
2152.622926525, 0.995190142,
2152.643358391, 0.995497301,
2152.663790356, 0.995208121,
2152.684222422, 0.995537771,
2152.704654286, 0.995428205,
2152.725086251, 0.994957353,
2152.745518315, 0.994822703,
2152.765950178, 0.995260637,
2152.786382141, 0.995419550,
2152.806814204, 0.995445472,
2152.827246166, 0.995004969,
2152.847678028, 0.995215859,
2152.868110089, 0.995618251,
2152.888542050, 0.995600277,
2152.908973910, 0.995807564,
2152.929405970, 0.995434648,
2152.949837930, 0.995615636,
2152.970269789, 0.996003326,
2152.990701848, 0.995488862,
2153.011133806, 0.995410279,
2153.051997721, 0.995490551,
2153.092861735, 0.995517590,
2153.113293590, 0.995700603,
2153.133725546, 0.995402583,
2153.154157601, 0.995260215,
2153.174589456, 0.995852850,
2153.195021410, 0.995672932,
2153.215453464, 0.995356608,
2153.235885317, 0.995413432,
2153.256317270, 0.995788816,
2153.276749223, 0.995560900,
2153.297181275, 0.995662213,
2153.317613127, 0.995513874,
2153.338045078, 0.995305859,
2153.378908979, 0.995536009,
2153.399341029, 0.995575080,
2153.419772879, 0.995908290,
2153.440204828, 0.995797529,
2153.460636876, 0.995441951,
