BJD - 2454833, Corrected Flux
2146.452447794, 0.998456234,
2146.513744113, 0.998426364,
2146.534176317, 0.998450924,
2146.554608322, 0.998441256,
2146.575040426, 0.998463653,
2146.595472630, 0.998367966,
2146.615904633, 0.998472850,
2146.636336736, 0.998476026,
2146.656768838, 0.998490892,
2146.677200940, 0.998455981,
2146.697633141, 0.998598806,
2146.718065142, 0.998563004,
2146.738497242, 0.998637994,
2146.758929442, 0.998407263,
2146.779361541, 0.998468350,
2146.799793540, 0.998683979,
2146.820225738, 0.998364450,
2146.840657836, 0.998468009,
2146.861089833, 0.998500119,
2146.881522030, 0.998428586,
2146.901954126, 0.998543700,
2146.922386122, 0.998609034,
2146.942818317, 0.998445561,
2146.963250412, 0.998428950,
2146.983682406, 0.998497366,
2147.004114600, 0.998460440,
2147.044978686, 0.998338949,
2147.065410879, 0.998414860,
2147.126707153, 0.998491500,
2147.147139243, 0.998471013,
2147.167571433, 0.998340609,
2147.188003422, 0.998524396,
2147.208435512, 0.998670642,
2147.228867700, 0.998449339,
2147.249299788, 0.998468492,
2147.269731775, 0.998376747,
2147.290163962, 0.998540726,
2147.310596049, 0.998568294,
2147.331028035, 0.998566597,
2147.371892206, 0.998550862,
2147.392324290, 0.998407452,
2147.412756474, 0.998358587,
2147.433188458, 0.998302434,
2147.453620541, 0.998154949,
2147.494484706, 0.998163260,
2147.514916787, 0.998298404,
2147.535348969, 0.998349784,
2147.555780949, 0.998453573,
2147.576213029, 0.998342258,
2147.596645209, 0.998234904,
2147.617077288, 0.998356022,
2147.637509267, 0.998346726,
2147.657941445, 0.998323224,
2147.678373523, 0.998281243,
2147.698805600, 0.998323346,
2147.719237677, 0.998262469,
2147.739669753, 0.998435529,
2147.760101929, 0.998239814,
2147.780533904, 0.998314623,
2147.800965979, 0.999115979,
2147.821398153, 0.998324124,
2147.841830127, 0.998342963,
2147.862262201, 0.998688809,
2147.882694374, 0.998101440,
2147.903126346, 0.998076082,
2147.923558418, 0.998332661,
2147.943990590, 0.998305872,
2147.984854631, 0.998368046,
2148.005286801, 0.998242160,
2148.025718770, 0.998272369,
2148.046150840, 0.998279954,
2148.066583008, 0.998289024,
2148.087015076, 0.998227161,
2148.107447044, 0.998230934,
2148.127879211, 0.998320747,
2148.148311178, 0.998424549,
2148.168743244, 0.998307938,
2148.189175409, 0.998282351,
2148.209607375, 0.998341682,
2148.230039439, 0.998304155,
2148.250471604, 0.998326562,
2148.291335731, 0.998354455,
2148.311767794, 0.998251405,
2148.332199756, 0.998373454,
2148.352631918, 0.998429240,
2148.373063979, 0.998264083,
2148.413928100, 0.998324074,
2148.434360160, 0.998308968,
2148.475224279, 0.998334537,
2148.495656337, 0.999170963,
2148.516088396, 0.998472494,
2148.536520453, 0.998386411,
2148.556952510, 0.998401516,
2148.577384567, 0.998364516,
2148.597816723, 0.998539426,
2148.618248679, 0.998910398,
2148.638680734, 0.998444688,
