BJD - 2454833, Corrected Flux
2146.452723223, 1.011153188,
2146.473155535, 1.011053240,
2146.514019858, 1.010720249,
2146.534452168, 1.011119178,
2146.554884278, 1.011228350,
2146.575316488, 1.010968208,
2146.595748796, 1.011165466,
2146.616180905, 1.011250022,
2146.636613112, 1.011217041,
2146.677477527, 1.011414492,
2146.697909833, 1.010853321,
2146.718341939, 1.010805045,
2146.738774144, 1.010705159,
2146.759206449, 1.010439214,
2146.779638653, 1.010071163,
2146.800070757, 1.010201402,
2146.820503060, 1.010134587,
2146.840935263, 1.010210376,
2146.861367365, 1.010178094,
2146.881799666, 1.010231086,
2146.902231867, 1.010077487,
2146.922663968, 1.010452923,
2146.943096267, 1.010494058,
2146.963528467, 1.010688390,
2146.983960566, 1.010976091,
2147.004392864, 1.011475372,
2147.024825062, 1.011431616,
2147.045257160, 1.011257314,
2147.065689457, 1.010774029,
2147.086121653, 1.010905718,
2147.106553849, 1.010793982,
2147.126986044, 1.010704674,
2147.147418239, 1.010363087,
2147.167850533, 1.010514304,
2147.188282627, 1.010263799,
2147.208714820, 1.010306674,
2147.229147113, 1.010603328,
2147.249579305, 1.010287419,
2147.270011397, 1.010371804,
2147.290443688, 1.010830167,
2147.310875878, 1.011116055,
2147.331307968, 1.010537511,
2147.351740258, 1.010537881,
2147.372172347, 1.010595294,
2147.392604535, 1.010309595,
2147.433468911, 1.010229725,
2147.494765470, 1.010638679,
2147.515197656, 1.010681610,
2147.535629941, 1.010383228,
2147.556062025, 1.010379074,
2147.576494209, 1.010619315,
2147.596926492, 1.010560426,
2147.617358675, 1.010686416,
2147.637790757, 1.010387660,
2147.658223040, 1.010774496,
2147.678655221, 1.010579617,
2147.699087401, 1.010532554,
2147.719519582, 1.010180713,
2147.739951761, 1.010303435,
2147.760384041, 1.010024381,
2147.780816119, 1.009945056,
2147.801248297, 1.009831022,
2147.821680575, 1.010054518,
2147.842112652, 1.009780943,
2147.862544829, 1.009919888,
2147.882977105, 1.009746565,
2147.903409180, 1.009619395,
2147.923841356, 1.009438464,
2147.944273630, 1.009541813,
2147.985137878, 1.009258411,
2148.005570151, 1.009964934,
2148.046434395, 1.009849347,
2148.066866667, 1.009837789,
2148.087298838, 1.009879248,
2148.107730908, 1.010183742,
2148.128163178, 1.010329092,
2148.148595247, 1.010406617,
2148.169027416, 1.010205767,
2148.189459685, 1.011759054,
2148.209891753, 1.010291907,
2148.230323920, 1.010412694,
2148.250756186, 1.010141390,
2148.271188253, 1.009997991,
2148.291620519, 1.009565051,
2148.312052684, 1.009668795,
2148.332484749, 1.009795188,
2148.352917013, 1.009700495,
2148.373349177, 1.009496567,
2148.393781240, 1.009864948,
2148.414213503, 1.009700361,
2148.475509988, 1.009644964,
2148.495942149, 1.009484663,
2148.516374309, 1.009436495,
2148.536806469, 1.009816786,
2148.557238628, 1.009590559,
2148.577670787, 1.010486327,
2148.598103045, 1.010583939,
2148.618535102, 1.010540145,
2148.638967260, 1.010427619,
2148.659399516, 1.010304286,
2148.679831572, 1.009997503,
2148.700263728, 1.009317773,
2148.720695983, 1.009402834,
2148.741128037, 1.009231038,
2148.761560191, 1.009336617,
2148.781992445, 1.009302467,
2148.802424498, 1.009568349,
2148.822856650, 1.009588367,
2148.843288903, 1.009952214,
2148.863720954, 1.009451596,
2148.884153205, 1.009815403,
2148.904585256, 1.009837813,
2148.925017406, 1.009526420,
2148.945449655, 1.009873705,
2148.965881704, 1.009547262,
2148.986313853, 1.009335860,
2149.006746100, 1.009057331,
2149.027178248, 1.008954479,
2149.047610295, 1.009218580,
2149.068042541, 1.009178550,
2149.088474687, 1.009250832,
2149.108906733, 1.009463702,
2149.129338978, 1.009971781,
2149.149771122, 1.009950161,
2149.170203166, 1.010213944,
2149.190635409, 1.010536351,
2149.211067552, 1.010513492,
2149.231499595, 1.010415872,
2149.272363978, 1.010202186,
2149.292796119, 1.013150945,
2149.313228259, 1.010459877,
2149.333660399, 1.010330461,
2149.354092538, 1.010114049,
2149.374524677, 1.010067205,
2149.394956815, 1.009562690,
2149.456253227, 1.010743410,
2149.476685464, 1.010286327,
2149.497117600, 1.010431804,
2149.517549635, 1.010096369,
2149.558414004, 1.010007389,
2149.578846038, 1.009967176,
2149.599278271, 1.009934857,
2149.619710304, 1.009906802,
2149.640142437, 1.010023874,
2149.660574668, 1.010064416,
2149.681006700, 1.010394426,
2149.701438831, 1.010316994,
2149.721871061, 1.010033882,
2149.762735220, 1.010218202,
2149.783167449, 1.010276226,
2149.803599477, 1.010407227,
2149.824031605, 1.010484165,
2149.844463832, 1.010091202,
2149.864895959, 1.009794656,
2149.885327985, 1.010019591,
2149.905760211, 1.010239808,
2149.946624361, 1.010124479,
2149.967056585, 1.009798346,
2149.987488709, 1.009691285,
2150.007920733, 1.009940797,
2150.028352955, 1.009835404,
2150.048785077, 1.009733690,
2150.069217299, 1.009973087,
2150.089649321, 1.010179040,
2150.110081442, 1.010023500,
2150.130513662, 1.010547869,
2150.150945681, 1.010542625,
2150.171377801, 1.010243124,
2150.191810020, 1.010554664,
2150.212242038, 1.010344013,
2150.232674156, 1.010259126,
2150.253106373, 1.010458392,
2150.273538490, 1.010272403,
2150.293970506, 1.010638401,
2150.314402722, 1.010551496,
2150.334834837, 1.010674416,
2150.355266852, 1.010736583,
2150.375699066, 1.010926381,
2150.396131081, 1.010567548,
2150.416563194, 1.010522640,
2150.436995407, 1.010359512,
