BJD - 2454833, Corrected Flux
2146.452741689, 0.990719701,
2146.473174008, 0.990550276,
2146.514038345, 0.990552279,
2146.534470663, 0.990812693,
2146.554902781, 0.990467255,
2146.575334998, 0.990408361,
2146.595767314, 0.990782896,
2146.616199430, 0.990592208,
2146.636631645, 0.990651064,
2146.657063860, 0.990383759,
2146.677496074, 0.990198757,
2146.697928387, 0.990398614,
2146.718360501, 0.990245398,
2146.738792713, 0.990242453,
2146.759225025, 0.990801652,
2146.779657237, 0.990127343,
2146.800089348, 0.990426029,
2146.820521659, 0.989939319,
2146.840953869, 0.990186777,
2146.861385978, 0.990422447,
2146.881818287, 0.990325373,
2146.902250496, 0.990280129,
2146.922682604, 0.989998426,
2146.943114911, 0.990207924,
2146.963547118, 0.990190666,
2146.983979224, 0.990191557,
2147.004411530, 0.990428201,
2147.024843735, 0.990239178,
2147.045275840, 0.990347247,
2147.065708144, 0.990089515,
2147.086140348, 0.990175651,
2147.106572551, 0.990026508,
2147.127004754, 0.990031497,
2147.147436956, 0.990208429,
2147.167869257, 0.989984442,
2147.208733559, 0.989766800,
2147.229165859, 0.990064690,
2147.249598059, 0.990017634,
2147.270030158, 0.989803783,
2147.290462456, 0.989840872,
2147.310894654, 0.989962040,
2147.351759048, 0.989901040,
2147.372191145, 0.989831959,
2147.392623341, 0.989914272,
2147.413055636, 0.989896380,
2147.433487730, 0.990191640,
2147.453919925, 0.989637937,
2147.494784312, 0.989768134,
2147.515216505, 0.989899863,
2147.556080889, 0.990066432,
2147.576513080, 0.990134927,
2147.596945370, 0.989848931,
2147.617377560, 0.989656499,
2147.637809650, 0.989685781,
2147.658241939, 0.989788639,
2147.699106316, 0.989705472,
2147.719538503, 0.989774959,
2147.739970690, 0.989672648,
2147.760402977, 0.989728877,
2147.780835063, 0.989266774,
2147.801267248, 0.989421115,
2147.821699533, 0.989830737,
2147.842131617, 0.989619208,
2147.862563801, 0.989510598,
2147.882996085, 0.989851833,
2147.903428168, 0.989561397,
2147.923860350, 0.989503369,
2147.944292632, 0.989684852,
2147.985156894, 0.989750047,
2148.005589174, 0.989439009,
2148.026021254, 0.989634002,
2148.046453433, 0.989488198,
2148.066885712, 0.989509563,
2148.087317890, 0.989421543,
2148.107749968, 0.989714468,
2148.128182245, 0.989600980,
2148.169046498, 0.989758385,
2148.189478773, 0.990574555,
2148.209910848, 0.989474817,
2148.230343023, 0.989539737,
2148.250775297, 0.989748003,
2148.271207370, 0.989403991,
2148.291639644, 0.989382202,
2148.312071816, 0.989938859,
2148.332503888, 0.989700024,
2148.352936160, 0.989675014,
2148.373368330, 0.989363350,
2148.393800401, 0.989793989,
2148.414232671, 0.989696201,
2148.434664840, 0.989982617,
2148.475529178, 0.989846214,
2148.495961346, 0.989705893,
2148.516393513, 0.989682104,
2148.536825680, 0.989502470,
2148.557257847, 0.989231242,
2148.577690012, 0.989912421,
2148.598122278, 0.989591594,
2148.618554342, 0.989344545,
2148.638986507, 0.989778614,
2148.659418770, 0.989610188,
2148.700282997, 0.989581179,
2148.720715259, 0.989752507,
2148.741147320, 0.989654237,
2148.761579482, 0.989454776,
2148.782011742, 0.989658473,
2148.822875962, 0.989866917,
2148.843308222, 0.989742610,
2148.863740280, 0.989600359,
2148.884172538, 0.989371113,
2148.904604596, 0.989581728,
2148.945469010, 0.989859246,
2148.965901066, 0.989714025,
2148.986333221, 0.989914946,
2149.006765476, 0.989681628,
2149.027197631, 0.989966723,
2149.047629685, 0.989500756,
2149.068061939, 0.989607519,
2149.088494092, 0.989856135,
2149.108926144, 0.989605442,
2149.129358397, 0.990021962,
2149.149790548, 0.989914488,
2149.170222599, 0.989759117,
2149.190654850, 0.989727047,
2149.211086999, 0.989743327,
2149.231519049, 0.989756665,
2149.272383446, 0.989962228,
2149.292815595, 0.989944415,
2149.313247742, 0.989785705,
2149.333679889, 0.989823375,
2149.354112036, 0.989912637,
2149.374544181, 0.989801773,
2149.394976327, 0.989550213,
2149.415408472, 0.990065568,
2149.456272760, 0.989640682,
2149.476705003, 0.989850238,
2149.497137146, 0.989789717,
2149.517569189, 0.989941333,
2149.538001431, 0.989973624,
2149.558433572, 0.989730443,
2149.578865613, 0.989999483,
2149.599297853, 0.990068866,
2149.619729893, 0.990256204,
2149.640162033, 0.989979043,
2149.660594271, 0.989846284,
2149.681026310, 0.989687331,
2149.701458448, 0.990008636,
2149.721890685, 0.989760416,
2149.742322722, 0.989976041,
2149.762754859, 0.989962600,
2149.783187094, 0.989779397,
2149.803619130, 0.989950413,
2149.824051265, 0.990167486,
2149.844483499, 0.991985519,
2149.864915632, 0.989883583,
2149.885347666, 0.989723744,
2149.905779899, 0.989767816,
2149.946644063, 0.990018464,
2149.967076294, 0.990029708,
2149.987508425, 0.990257367,
2150.007940455, 0.990310356,
2150.028372685, 0.990270389,
2150.048804815, 0.989760915,
2150.069237043, 0.990461920,
2150.089669072, 0.989982541,
2150.110101200, 0.989982834,
2150.130533427, 0.990085163,
2150.150965453, 0.990279823,
2150.171397580, 0.989931903,
2150.191829806, 0.990203346,
2150.212261831, 0.990150432,
2150.232693956, 0.989806514,
2150.253126180, 0.989827211,
2150.273558304, 0.989671767,
2150.293990327, 0.990005322,
2150.314422550, 0.989853643,
2150.334854672, 0.989892013,
2150.355286694, 0.989893315,
2150.375718915, 0.990301030,
2150.396150936, 0.990051707,
2150.416583056, 0.990079763,
2150.437015277, 0.989886476,
2150.457447296, 0.989976552,
2150.477879415, 0.989813256,
2150.498311633, 0.990207059,
2150.518743651, 0.989882098,
2150.539175768, 0.989978788,
2150.600472117, 0.990151069,
2150.620904333, 0.990065241,
2150.641336347, 0.990029450,
2150.682200675, 0.990020019,
2150.702632789, 0.989886711,
2150.723064902, 0.990011728,
2150.743497014, 0.989858441,
2150.763929126, 0.990189731,
2150.784361337, 0.990010825,
2150.804793348, 0.990208119,
2150.825225458, 0.990387442,
2150.845657668, 0.989934366,
2150.866089678, 0.990321601,
2150.886521787, 0.989951584,
2150.906953995, 0.990160199,
2150.927386003, 0.990675083,
2150.947818110, 0.989924817,
2150.968250317, 0.990306576,
2150.988682324, 0.990458213,
2151.009114430, 0.990124346,
2151.029546535, 0.990111929,
2151.049978640, 0.990194469,
2151.070410744, 0.990108671,
2151.111274952, 0.990129347,
2151.131707055, 0.990097500,
2151.152139257, 0.990165342,
2151.172571259, 0.990224999,
2151.193003361, 0.990189733,
2151.213435562, 0.990113831,
2151.233867563, 0.990267849,
2151.254299763, 0.990159771,
2151.274731862, 0.990370866,
2151.315596060, 0.990528143,
2151.336028158, 0.989799463,
2151.356460155, 0.990293576,
2151.376892353, 0.990586567,
2151.397324449, 0.990432573,
2151.417756445, 0.990610781,
2151.438188641, 0.990627141,
2151.458620736, 0.990589290,
2151.479052730, 0.990423535,
2151.499484925, 0.990546820,
2151.519917018, 0.990436319,
2151.540349111, 0.990560884,
2151.560781204, 0.990350880,
2151.581213296, 0.990275981,
2151.601645388, 0.990388525,
2151.622077579, 0.990688149,
2151.642509570, 0.990322524,
2151.662941660, 0.990541102,
2151.683373850, 0.990776544,
2151.703805839, 0.990944118,
2151.724237928, 0.990838576,
2151.744670116, 0.990454691,
2151.785534191, 0.990869766,
2151.805966378, 0.990789125,
2151.826398364, 0.990601345,
2151.846830450, 0.990651686,
2151.867262535, 0.990704182,
2151.908126805, 0.990732028,
2151.928558789, 0.990709922,
2151.948990872, 0.990875543,
2151.969423055, 0.991193178,
2151.989855137, 0.991094012,
2152.010287119, 0.990803699,
2152.030719301, 0.991172670,
2152.051151382, 0.990633937,
2152.071583362, 0.990816227,
2152.092015542, 0.991214480,
2152.112447622, 0.991133451,
2152.132879601, 0.990842272,
2152.153311779, 0.990881368,
2152.173743857, 0.990832569,
2152.194175835, 0.990963793,
2152.214608012, 0.990911496,
2152.235040089, 0.990930092,
2152.255472065, 0.990965097,
2152.275904241, 0.990954286,
2152.296336316, 0.991043558,
2152.316768291, 0.990832105,
2152.337200465, 0.990896298,
2152.357632539, 0.990988118,
2152.378064612, 0.991249078,
2152.398496684, 0.991352256,
2152.418928757, 0.990981798,
2152.439360829, 0.991161909,
2152.459793000, 0.991122373,
2152.480224971, 0.990978159,
2152.500657141, 0.990995685,
2152.521089211, 0.990814135,
2152.541521180, 0.991048336,
2152.561953349, 0.991144855,
2152.582385418, 0.990955844,
2152.602817386, 0.991053585,
2152.623249553, 0.991051379,
2152.643681520, 0.991206905,
2152.664113587, 0.991303281,
2152.684545753, 0.991098598,
2152.704977718, 0.991481833,
2152.725409783, 0.991169565,
2152.766273912, 0.991189775,
2152.786705975, 0.991282592,
2152.807138139, 0.991366991,
2152.827570202, 0.991589395,
2152.848002163, 0.991186705,
2152.868434325, 0.991282090,
2152.888866386, 0.991362401,
2152.909298347, 0.991267222,
2152.929730507, 0.991410515,
2152.950162567, 0.991017401,
2152.970594527, 0.991410337,
2152.991026686, 0.991409857,
2153.011458744, 0.991302618,
2153.031890702, 0.991863895,
2153.072754916, 0.991456036,
2153.093187073, 0.991456344,
2153.113619029, 0.991242514,
2153.134051084, 0.991712389,
2153.154483239, 0.991539675,
2153.195347248, 0.991474312,
2153.215779402, 0.991539978,
2153.236211355, 0.991401852,
2153.256643407, 0.991589111,
2153.277075460, 0.991633254,
2153.297507611, 0.991447158,
2153.317939562, 0.991574682,
2153.338371613, 0.991565156,
2153.379235713, 0.991564710,
2153.399667863, 0.991603436,
2153.420099811, 0.991651107,
2153.440531860, 0.991449619,
2153.460964008, 0.991501575,
2153.481395955, 0.991753988,
2153.501828002, 0.991343195,
2153.522260149, 0.991403291,
2153.542692095, 0.991893009,
2153.563124141, 0.991279489,
2153.583556286, 0.991283108,
2153.603988230, 0.991719764,
2153.644852418, 0.991803465,
2153.665284461, 0.991909842,
2153.685716504, 0.991829740,
2153.706148546, 0.991644813,
2153.726580588, 0.991719613,
2153.747012629, 0.991483838,
2153.767444670, 0.991844171,
2153.787876711, 0.991656266,
2153.808308851, 0.991537184,
2153.828740790, 0.991988291,
2153.890036905, 0.991774713,
2153.910468943, 0.992107884,
2153.930901080, 0.991761584,
2153.951333017, 0.991939904,
2153.971765053, 0.991831561,
2154.033061159, 0.991820884,
2154.053493193, 0.991734148,
2154.073925227, 0.991654727,
2154.094357260, 0.991748129,
2154.114789293, 0.991797539,
2154.135221326, 0.991788991,
2154.155653357, 0.991507955,
2154.176085389, 0.991978718,
2154.196517420, 0.991970807,
2154.216949450, 0.992021046,
2154.237381581, 0.991944941,
2154.257813510, 0.991720091,
2154.278245639, 0.992201875,
2154.298677668, 0.991804174,
2154.319109596, 0.991998082,
2154.339541724, 0.992097409,
2154.359973752, 0.992307281,
2154.380405678, 0.991889417,
2154.400837805, 0.991936958,
2154.421269831, 0.992364071,
2154.441701756, 0.992021981,
2154.462133881, 0.992349110,
2154.482565906, 0.992096466,
2154.502997929, 0.992019898,
2154.523429953, 0.992037224,
2154.543861976, 0.992164190,
2154.564293999, 0.991884690,
2154.584726021, 0.992211973,
2154.605158043, 0.991878376,
2154.625590064, 0.992180356,
2154.646022185, 0.992192617,
2154.666454105, 0.991993822,
2154.686886125, 0.992140619,
2154.707318244, 0.992083937,
2154.727750163, 0.992244308,
2154.748182182, 0.992157876,
2154.768614200, 0.992229275,
2154.789046217, 0.991951152,
2154.809478335, 0.992041150,
2154.829910251, 0.992267969,
2154.850342267, 0.992261194,
2154.870774383, 0.992315606,
2154.891206298, 0.991976724,
2154.911638313, 0.992147114,
2154.932070428, 0.992191972,
2154.952502341, 0.992113511,
2154.972934355, 0.992121061,
2154.993366468, 0.992152077,
2155.013798380, 0.992273724,
2155.034230392, 0.992018757,
2155.054662504, 0.992339265,
2155.075094515, 0.992408727,
2155.095526426, 0.991818462,
2155.115958536, 0.992040793,
2155.136390546, 0.992234932,
2155.156822455, 0.992386769,
2155.177254564, 0.992151335,
2155.197686572, 0.992133740,
2155.218118480, 0.992388572,
2155.238550588, 0.992307337,
2155.258982595, 0.992543943,
2155.279414501, 0.992395569,
2155.299846607, 0.992076285,
2155.320278613, 0.992325159,
2155.340710618, 0.992330960,
2155.361142623, 0.992289659,
2155.381574627, 0.992617006,
2155.402006731, 0.992447874,
2155.422438634, 0.992537255,
2155.442870637, 0.992367474,
2155.463302739, 0.992240205,
2155.483734642, 0.992586983,
2155.504166643, 0.992573330,
2155.524598644, 0.992702899,
2155.565462645, 0.992502692,
2155.585894744, 0.992357926,
2155.606326644, 0.992374060,
2155.626758642, 0.992533886,
2155.647190741, 0.992628061,
2155.688054636, 0.994221202,
2155.708486733, 0.992961749,
2155.728918630, 0.992075166,
2155.749350626, 0.993031281,
2155.769782721, 0.992460500,
2155.790214617, 0.992376012,
2155.851510599, 0.992713513,
2155.871942593, 0.992293532,
2155.892374686, 0.992816314,
2155.912806678, 0.992714541,
2155.933238571, 0.992665745,
2155.953670662, 0.992642569,
2155.974102653, 0.992658982,
2155.994534643, 0.993008676,
2156.014966634, 0.992728747,
2156.035398623, 0.992836354,
2156.055830713, 0.992785379,
2156.076262602, 0.992594182,
2156.096694590, 0.992875824,
2156.117126678, 0.992704273,
2156.137558566, 0.992895584,
2156.157990553, 0.993107603,
2156.178422640, 0.992604617,
2156.198854526, 0.992624681,
2156.219286511, 0.992716404,
2156.239718597, 0.992837475,
2156.260150481, 0.992603552,
2156.280582466, 0.993026958,
2156.301014450, 0.992782359,
2156.321446433, 0.992856801,
2156.403174363, 0.993484522,
2156.423606444, 0.992945046,
2156.444038325, 0.993217732,
2156.464470305, 0.993058729,
2156.484902385, 0.993140429,
2156.505334265, 0.992723926,
2156.525766244, 0.992983612,
2156.546198322, 0.992789389,
2156.566630200, 0.992735661,
2156.607494255, 0.993223236,
2156.668790184, 0.992949545,
2156.689222060, 0.992904174,
2156.709654134, 0.992884803,
2156.730086109, 0.993060704,
2156.750518083, 0.993222305,
2156.770950057, 0.992934907,
2156.791382030, 0.993106030,
2156.811814003, 0.993183111,
