BJD - 2454833, Corrected Flux
2061.326358784, 1.005706547,
2061.346791019, 1.011121798,
2061.367223154, 1.008437027,
2061.387655488, 1.005172167,
2061.408087722, 1.010702062,
2061.428520055, 1.005034580,
2061.489816752, 1.005073431,
2061.510248883, 1.003425468,
2061.530681114, 1.006200627,
2061.551113445, 1.002338700,
2061.571545675, 1.003086551,
2061.591977804, 1.006099732,
2061.612410133, 1.004517432,
2061.632842362, 1.003518168,
2061.653274490, 1.004497221,
2061.673706817, 1.003638437,
2061.694139045, 1.003545486,
2061.714571271, 1.003814539,
2061.735003498, 1.005073912,
2061.755435724, 1.003384234,
2061.775867948, 1.004329203,
2061.796300173, 1.005008053,
2061.816732398, 1.004344598,
2061.837164622, 1.005008353,
2061.857596845, 1.005283309,
2061.878028968, 1.003439890,
2061.898461291, 1.004198035,
2061.918893513, 1.003577737,
2061.939325735, 1.003759594,
2061.959757956, 1.004951539,
2061.980190177, 1.002141364,
2062.000622497, 1.003208377,
2062.021054617, 1.003918787,
2062.041486836, 1.003375831,
2062.061919155, 1.004249992,
2062.082351273, 1.002844026,
2062.102783491, 1.004758786,
2062.123215808, 1.003850888,
2062.143648025, 1.004104888,
2062.164080142, 1.002258149,
2062.225376789, 1.003703677,
2062.245809104, 1.000349141,
2062.266241318, 1.002491756,
2062.286673432, 1.000442006,
2062.307105745, 1.002628336,
2062.327537958, 1.001373204,
2062.347970271, 1.001636049,
2062.368402383, 1.003551867,
2062.388834594, 1.004124905,
2062.409266905, 1.003099337,
2062.429699016, 1.004928069,
2062.450131226, 1.003159561,
2062.470563435, 1.001690640,
2062.490995645, 1.002042237,
2062.511427853, 1.001707750,
2062.531860062, 1.003655402,
2062.552292270, 1.003660351,
2062.572724477, 1.002481475,
2062.593156684, 1.001000692,
2062.613588890, 1.003163709,
2062.634021096, 1.003446112,
2062.654453402, 1.003041661,
2062.674885507, 1.001769516,
2062.695317812, 1.001651515,
2062.715750016, 1.003186357,
2062.736182120, 1.002532578,
2062.756614423, 1.003026455,
2062.777046626, 1.003585366,
2062.797478728, 1.004483776,
2062.817911030, 1.005036739,
2062.838343232, 1.002140878,
2062.858775333, 1.003110093,
2062.879207633, 1.003850720,
2062.899639833, 1.004158598,
2062.920071933, 1.004013290,
2062.940504232, 1.001410044,
2062.960936431, 1.002714286,
2062.981368629, 1.002059172,
2063.001800827, 1.003473938,
