BJD - 2454833, Corrected Flux
2146.452686594, 1.000173566,
2146.473118889, 1.000002624,
2146.513983176, 1.000266918,
2146.554847562, 1.000154569,
2146.575279753, 1.000139143,
2146.595712045, 1.000131887,
2146.616144136, 1.000110110,
2146.636576326, 1.000074064,
2146.657008516, 1.000107118,
2146.677440705, 1.000176092,
2146.697872994, 1.000092422,
2146.738737270, 0.999919143,
2146.759169557, 0.999953320,
2146.779601744, 0.999882882,
2146.800033830, 0.999806160,
2146.820466116, 0.999831255,
2146.840898301, 0.999786345,
2146.861330386, 0.999772579,
2146.881762670, 0.999786289,
2146.902194853, 0.999685397,
2146.922626936, 0.999646041,
2146.943059219, 0.999698657,
2146.963491401, 0.999647896,
2146.983923482, 0.999662641,
2147.004355763, 0.999623565,
2147.024787944, 0.999734502,
2147.045220024, 0.999561033,
2147.065652303, 0.999588747,
2147.086084482, 0.999639559,
2147.126948838, 0.999520720,
2147.147381016, 0.999525326,
2147.167813293, 0.999499212,
2147.188245369, 0.999583094,
2147.229109820, 0.999561204,
2147.269974069, 0.999555366,
2147.290406343, 0.999534148,
2147.310838516, 0.999577736,
2147.331270589, 0.999486617,
2147.351702861, 0.999461298,
2147.392567104, 0.999578011,
2147.412999375, 0.999546320,
2147.494727952, 0.999529832,
2147.515160120, 0.999561224,
2147.535592388, 0.999602788,
2147.556024455, 0.999653035,
2147.576456622, 0.999577599,
2147.596888887, 0.999495174,
2147.637753118, 0.999594977,
2147.658185382, 0.999556866,
2147.678617546, 0.999608626,
2147.699049710, 0.999568118,
2147.719481873, 0.999617828,
2147.739914035, 0.999591543,
2147.760346297, 0.999591972,
2147.780778359, 0.999701215,
2147.801210519, 0.999623736,
2147.821642780, 0.999616139,
2147.842074840, 0.999624907,
2147.862507000, 0.999614992,
2147.882939258, 0.999663009,
2147.903371317, 0.999677268,
2147.923803474, 0.999659256,
2147.944235732, 0.999772340,
2147.985099945, 0.999734917,
2148.005532201, 0.999726920,
2148.025964256, 0.999757938,
2148.046396411, 0.999879025,
2148.066828665, 0.999834890,
2148.087260819, 0.999769236,
2148.128125125, 0.999718074,
2148.148557177, 0.999771193,
2148.168989329, 0.999843598,
2148.189421580, 0.999925994,
2148.209853631, 0.999861670,
2148.230285781, 0.999819229,
2148.250718031, 0.999849302,
2148.271150080, 0.999857888,
2148.291582328, 0.999985828,
2148.312014476, 0.999884251,
2148.332446524, 1.000024099,
2148.352878771, 1.000089542,
2148.373310918, 0.999999426,
2148.393742964, 1.000030935,
2148.414175210, 0.999932140,
2148.434607355, 0.999912487,
2148.475471644, 0.999975564,
2148.516335930, 1.000101119,
2148.536768073, 1.000112374,
2148.557200215, 1.000118595,
2148.577632356, 1.000146247,
2148.598064598, 1.000047637,
2148.618496638, 1.000012694,
2148.638928778, 1.000001234,
2148.659361018, 1.000135379,
2148.700225195, 1.000161589,
2148.720657433, 1.000180792,
2148.741089471, 1.000088802,
2148.761521608, 1.000092654,
2148.781953844, 1.000139277,
2148.802385880, 1.000125308,
2148.822818016, 1.000135063,
2148.843250251, 1.000105237,
2148.863682286, 1.000155254,
2148.904546553, 1.000085642,
2148.924978686, 1.000198124,
2148.945410918, 1.000126298,
2148.965842950, 1.000100643,
2148.986275082, 1.000097334,
2149.006707313, 1.000071650,
2149.027139443, 1.000073255,
2149.047571473, 1.000146413,
2149.068003703, 1.000129641,
2149.088435832, 1.000024896,
2149.108867860, 1.000049851,
2149.129300088, 1.000139981,
2149.149732216, 1.000169782,
2149.170164242, 1.000163613,
2149.190596469, 1.000097538,
2149.211028595, 1.000169413,
2149.251892845, 1.000170345,
2149.292757094, 1.000125888,
2149.333621340, 1.000241542,
2149.354053463, 1.000221626,
2149.374485585, 1.000178950,
2149.394917706, 1.000139783,
2149.415349827, 1.000156533,
2149.456214068, 1.000226521,
2149.476646287, 1.000202727,
2149.497078406, 1.000213419,
2149.517510424, 1.000178338,
2149.537942643, 1.000216152,
2149.619671010, 1.000258291,
2149.640103125, 1.000265024,
2149.660535340, 1.000195228,
2149.680967354, 1.000241073,
2149.701399468, 1.000193918,
2149.721831682, 1.000213155,
2149.742263695, 1.000205110,
2149.762695807, 1.000270218,
2149.783128019, 1.000297919,
2149.803560031, 1.000286312,
2149.823992142, 1.000293733,
2149.844424352, 1.000246389,
2149.864856463, 1.000246901,
2149.885288472, 1.000209715,
2149.905720681, 1.000272652,
2149.946584797, 1.000331805,
2149.967017005, 1.000313716,
2149.987449112, 1.000327974,
2150.007881119, 1.000304858,
2150.048745430, 1.000267390,
2150.069177635, 1.000281740,
2150.089609640, 1.000293749,
2150.110041744, 1.000292135,
2150.130473948, 1.000205302,
2150.150905951, 1.000224474,
2150.171338053, 1.000200642,
2150.191770256, 1.000228524,
2150.212202257, 1.000295075,
2150.232634358, 1.000229759,
2150.253066559, 1.000252123,
2150.273498659, 1.000224304,
2150.293930659, 1.000276131,
2150.314362858, 1.000300628,
2150.334794956, 1.000278311,
2150.355226955, 1.000236042,
2150.375659152, 1.000250390,
2150.396091150, 1.000394254,
2150.416523246, 1.000299825,
2150.436955442, 1.000278591,
2150.457387438, 1.000229830,
2150.477819533, 1.000262093,
2150.498251728, 1.000232486,
2150.518683722, 1.000213844,
2150.539115816, 1.000190066,
2150.559548009, 1.000216238,
2150.579980002, 1.000285062,
2150.702572649, 1.000242654,
2150.723004738, 1.000242720,
2150.743436827, 1.000252817,
2150.763868915, 1.000204522,
2150.784301103, 1.000287950,
2150.804733091, 1.000260189,
2150.825165177, 1.000207469,
2150.845597364, 1.000256395,
2150.866029350, 1.000254017,
2150.886461435, 1.000235008,
2150.906893620, 1.000230664,
2150.927325605, 1.000184108,
2150.947757689, 1.000217737,
2150.968189872, 1.000202346,
2150.988621855, 1.000217340,
2151.029486020, 1.000143407,
2151.070350182, 1.000200295,
2151.090782363, 1.000251687,
2151.111214343, 1.000348622,
2151.131646423, 1.000291022,
2151.152078602, 1.000287652,
2151.172510580, 1.000218699,
2151.192942659, 1.000318040,
2151.213374836, 1.000250345,
2151.233806814, 1.000276413,
2151.254238990, 1.000274917,
2151.274671066, 1.000295399,
2151.295103042, 1.000205426,
2151.315535217, 1.000243724,
2151.335967292, 1.000204890,
2151.356399267, 1.000324089,
2151.376831440, 1.000354051,
2151.397263514, 1.000287584,
2151.417695487, 1.000251759,
2151.438127659, 1.000316601,
2151.458559731, 1.000292301,
2151.478991702, 1.000313996,
2151.499423873, 1.000237139,
2151.519855944, 1.000261040,
2151.540288013, 1.000321025,
2151.560720083, 1.000220363,
2151.581152152, 1.000245768,
2151.601584221, 1.000329835,
2151.622016389, 1.000211379,
2151.642448356, 1.000198802,
2151.662880423, 1.000257391,
2151.683312590, 1.000257499,
2151.703744556, 1.000286195,
2151.724176622, 1.000257732,
2151.744608787, 1.000207557,
2151.785472816, 1.000256806,
2151.805904979, 1.000285033,
2151.826336942, 1.000289419,
2151.846769005, 1.000238389,
2151.867201068, 1.000226954,
2151.908065290, 1.000265113,
2151.928497251, 1.000240516,
2151.969361472, 1.000218669,
2152.010225490, 1.000257193,
2152.030657648, 1.000221861,
2152.051089706, 1.000188859,
2152.071521664, 1.000196617,
2152.091953821, 1.000148166,
2152.112385878, 1.000108662,
2152.132817833, 1.000085872,
2152.153249989, 1.000166346,
2152.173682044, 1.000156891,
2152.194113999, 1.000158968,
2152.214546153, 1.000136751,
2152.234978207, 1.000209026,
2152.255410160, 1.000212377,
2152.275842312, 1.000206178,
2152.296274365, 1.000165801,
2152.316706317, 1.000163294,
2152.337138468, 1.000131658,
2152.378002569, 1.000118430,
2152.398434619, 1.000172256,
2152.418866668, 1.000147854,
2152.439298717, 1.000159361,
2152.459730866, 1.000213122,
2152.480162814, 1.000187729,
2152.500594961, 1.000138939,
2152.521027008, 1.000039809,
2152.541458955, 1.000108380,
2152.561891101, 1.000106357,
2152.582323147, 1.000226087,
2152.602755092, 1.000135237,
2152.623187236, 1.000168727,
2152.643619181, 1.000151745,
2152.664051224, 1.000142475,
2152.684483368, 1.000148072,
2152.704915310, 1.000155114,
2152.725347352, 1.000158202,
2152.745779494, 1.000200935,
2152.766211436, 1.000214312,
2152.786643477, 1.000086033,
2152.807075617, 1.000175292,
2152.827507657, 1.000212639,
2152.847939597, 1.000305904,
2152.868371735, 1.000154359,
2152.888803774, 1.000199389,
2152.909235712, 1.000157711,
2152.929667850, 1.000155875,
2152.950099887, 1.000296768,
2152.970531823, 1.000263842,
2152.990963960, 1.000201076,
2153.011395996, 1.000154122,
2153.031827931, 1.000195480,
2153.052260065, 1.000205082,
2153.072692100, 1.000227215,
2153.093124234, 1.000198481,
2153.113556167, 1.000235929,
2153.154420333, 1.000237928,
2153.174852265, 1.000338082,
2153.215716427, 1.000216381,
2153.236148358, 1.000259113,
2153.256580388, 1.000224254,
2153.297444547, 1.000264152,
2153.317876475, 1.000189810,
2153.338308503, 1.000247236,
2153.379172558, 1.000290402,
2153.399604685, 1.000152288,
2153.420036612, 1.000257088,
2153.440468638, 1.000185325,
2153.460900763, 1.000291657,
2153.481332688, 1.000213919,
2153.501764713, 1.000296316,
2153.522196837, 1.000226816,
2153.542628760, 1.000199552,
2153.563060784, 1.000245603,
2153.583492906, 1.000266623,
2153.603924828, 1.000240356,
2153.624356850, 1.000270809,
2153.644788971, 1.000186778,
2153.665220992, 1.000257398,
2153.685653013, 1.000259911,
2153.706085033, 1.000289823,
2153.726517052, 1.000226809,
2153.746949071, 1.000189214,
2153.767381089, 1.000233669,
2153.787813107, 1.000150861,
2153.808245225, 1.000198037,
2153.828677142, 1.000198710,
2153.889973191, 1.000216254,
2153.910405206, 1.000118042,
2153.930837321, 1.000138935,
2153.951269235, 1.000158644,
2153.992133362, 1.000092347,
2154.012565275, 1.000080875,
2154.032997288, 1.000081229,
2154.053429300, 1.000116924,
2154.073861311, 1.000125304,
2154.094293322, 1.000052166,
2154.114725333, 0.999968124,
2154.135157343, 1.000028692,
2154.155589353, 0.999931959,
2154.176021362, 0.999992932,
2154.216885380, 0.999927096,
2154.237317488, 0.999976176,
2154.257749395, 0.999986712,
2154.278181502, 0.999974857,
