BJD - 2454833, Corrected Flux
2061.305671057, 1.000547357,
2061.326103315, 1.000091299,
2061.346535471, 0.999903461,
2061.366967528, 1.000207911,
2061.489560658, 1.000226326,
2061.509992711, 1.000098079,
2061.530424865, 1.000204484,
2061.550857117, 1.000119005,
2061.571289269, 0.999920606,
2061.591721321, 0.999916871,
2061.612153572, 0.999905296,
2061.632585723, 1.000058481,
2061.653017773, 0.999910868,
2061.673450023, 1.000106553,
2061.693882173, 1.000118111,
2061.714314322, 1.000338505,
2061.734746470, 1.000091465,
2061.755178618, 0.999844437,
2061.775610767, 0.999980953,
2061.796042914, 0.999901776,
2061.816475061, 1.000239019,
2061.836907207, 0.999843322,
2061.857339353, 0.999954664,
2061.877771399, 0.999891005,
2061.898203644, 0.999981532,
2061.918635789, 0.999745938,
2061.939067933, 0.999913784,
2061.959500077, 0.999821092,
2061.979932220, 0.999928755,
2062.000364464, 0.999625404,
2062.020796506, 0.999790903,
2062.041228648, 0.999618461,
2062.061660890, 1.000070251,
2062.082092931, 0.999574321,
2062.102525072, 0.999460187,
2062.122957312, 0.999437020,
2062.143389453, 0.999481164,
2062.163821492, 0.999729961,
2062.225117908, 0.999598992,
2062.245550146, 0.999644206,
2062.265982283, 0.999702507,
2062.286414320, 0.999514719,
2062.306846557, 0.999687730,
2062.327278693, 0.999598315,
2062.347710929, 0.999504821,
2062.368142964, 0.999396538,
2062.388575099, 0.999309936,
2062.409007333, 0.999402720,
2062.429439367, 0.999400438,
2062.449871500, 0.999545242,
2062.470303634, 0.999555976,
2062.490735766, 0.999390266,
2062.511167898, 0.999231959,
2062.531600030, 0.999474397,
2062.552032162, 0.999360154,
2062.572464293, 0.999223227,
2062.592896423, 0.999264031,
2062.613328554, 0.999334743,
2062.633760683, 0.999124407,
2062.654192913, 0.999072237,
2062.674624941, 0.998939326,
2062.695057170, 0.999084539,
2062.715489298, 0.999014579,
2062.735921325, 0.999252386,
2062.756353552, 0.999353706,
2062.776785679, 0.999300629,
2062.797217705, 0.999141789,
2062.817649931, 0.999148583,
2062.838082057, 0.998940975,
2062.858514081, 0.999233014,
2062.878946306, 0.999282787,
2062.899378430, 0.999287097,
2062.919810454, 0.999354865,
2062.940242677, 0.999144018,
2062.960674800, 0.999274793,
