BJD - 2454833, Corrected Flux
2146.452720842, 0.994351812,
2146.514017480, 0.993916028,
2146.534449792, 0.993951366,
2146.554881903, 0.993812684,
2146.575314113, 0.993767052,
2146.595746423, 0.993723837,
2146.616178532, 0.993692646,
2146.636610741, 0.993685960,
2146.657042949, 0.993750996,
2146.677475157, 0.993879468,
2146.697907464, 0.994044080,
2146.718339572, 0.994211346,
2146.759204083, 0.994587949,
2146.779636289, 0.994708511,
2146.800068393, 0.994627790,
2146.820500697, 0.994540559,
2146.840932901, 0.994374472,
2146.861365004, 0.994195653,
2146.881797306, 0.993964996,
2146.902229508, 0.993737360,
2146.922661610, 0.993568148,
2146.963526111, 0.993716850,
2146.983958212, 0.993862473,
2147.004390511, 0.993988572,
2147.024822710, 0.994079857,
2147.045254808, 0.994068097,
2147.065687106, 0.994011686,
2147.086119303, 0.994095385,
2147.106551500, 0.994300995,
2147.126983696, 0.994383749,
2147.147415892, 0.994542440,
2147.167848188, 0.994584349,
2147.188280282, 0.994724943,
2147.208712476, 0.994803540,
2147.229144770, 0.994842396,
2147.249576963, 0.995173476,
2147.290441348, 0.994928136,
2147.310873540, 0.994470971,
2147.331305631, 0.994341835,
2147.351737921, 0.994280732,
2147.372170011, 0.994136105,
2147.392602201, 0.994207862,
2147.413034490, 0.994365396,
2147.494763141, 0.994301452,
2147.515195327, 0.994653608,
2147.535627613, 0.994474506,
2147.556059699, 0.994322866,
2147.576491883, 0.994252447,
2147.596924168, 0.994178240,
2147.617356351, 0.994083572,
2147.637788435, 0.993963809,
2147.658220718, 0.993921983,
2147.678652900, 0.993983402,
2147.699085081, 0.993873759,
2147.719517263, 0.993962813,
2147.739949444, 0.994182803,
2147.760381724, 0.994368669,
2147.780813804, 0.994273945,
2147.801245982, 0.994092299,
2147.821678261, 0.993925493,
2147.842110340, 0.993684747,
2147.862542517, 0.993445293,
2147.882974794, 0.993206501,
2147.903406871, 0.993019075,
2147.923839047, 0.992972240,
2147.944271322, 0.992932400,
2147.985135572, 0.992974722,
2148.005567846, 0.993099106,
2148.025999919, 0.993335978,
2148.046432093, 0.993714461,
2148.066864365, 0.994234963,
2148.087296537, 0.994706978,
2148.107728608, 0.995049047,
2148.128160879, 0.995042683,
2148.148592949, 0.995095587,
2148.209889458, 0.994626184,
2148.230321626, 0.994576743,
2148.250753894, 0.994564700,
2148.291618228, 0.994830401,
2148.312050395, 0.994778648,
2148.332482460, 0.994715246,
2148.352914726, 0.994569633,
2148.393778954, 0.993938778,
2148.414211218, 0.993754737,
2148.434643382, 0.993840401,
2148.475507707, 0.993755621,
2148.495939868, 0.993897367,
2148.516372029, 0.993571328,
2148.536804190, 0.993347512,
2148.557236350, 0.993358857,
2148.577668510, 0.993950335,
2148.618532828, 0.994870629,
2148.638964986, 0.994786456,
2148.679829301, 0.994574088,
2148.700261457, 0.994424632,
2148.720693713, 0.994496853,
2148.741125769, 0.994530640,
2148.761557924, 0.994511422,
2148.781990179, 0.994358025,
2148.802422233, 0.994255668,
2148.822854386, 0.994170300,
2148.843286639, 0.994216358,
2148.863718692, 0.993933496,
2148.884150944, 0.993898530,
2148.904582995, 0.993883062,
2148.925015146, 0.994148461,
2148.945447397, 0.994309115,
2148.965879447, 0.994461029,
2148.986311597, 0.994436448,
2149.006743845, 0.994608752,
2149.027175994, 0.994719995,
2149.047608042, 0.994765563,
2149.068040289, 0.994729313,
2149.088472436, 0.994474482,
2149.108904483, 0.994332531,
2149.129336728, 0.993997628,
2149.170200919, 0.993910695,
2149.211065307, 0.994232797,
2149.231497351, 0.994261092,
2149.251929593, 0.994395772,
2149.272361736, 0.994446862,
2149.292793878, 0.994326026,
2149.313226019, 0.994339086,
2149.333658160, 0.994301150,
2149.354090301, 0.994396444,
2149.374522440, 0.994603773,
2149.456250995, 0.994573033,
2149.476683232, 0.994640311,
2149.497115369, 0.994651561,
2149.517547406, 0.994609589,
2149.537979641, 0.994332787,
2149.558411777, 0.994184274,
2149.578843812, 0.994253103,
2149.599276046, 0.994112141,
2149.619708080, 0.994173840,
2149.640140213, 0.994271840,
2149.660572446, 0.994286402,
2149.681004478, 0.994219954,
2149.701436610, 0.994011663,
2149.721868842, 0.993976661,
2149.742300872, 0.993776109,
2149.762733003, 0.993709987,
2149.783165233, 0.993868294,
2149.803597262, 0.993867802,
2149.824029391, 0.993965198,
2149.844461619, 0.993890612,
2149.864893747, 0.993946627,
2149.885325774, 0.994170249,
2149.905758001, 0.994363146,
2149.946622153, 0.994311359,
2149.967054379, 0.994568421,
2149.987486503, 0.994900943,
2150.007918528, 0.995047368,
2150.028350752, 0.995117677,
2150.048782875, 0.994923739,
2150.069215097, 0.994656340,
2150.089647120, 0.994283125,
2150.110079242, 0.994018622,
2150.130511463, 0.993813096,
2150.150943484, 0.993709464,
2150.171375605, 0.993574281,
2150.191807824, 0.993696836,
2150.212239843, 0.993722097,
2150.232671963, 0.993698855,
2150.273536299, 0.993554661,
2150.293968316, 0.993584947,
2150.314400533, 0.993703797,
2150.334832649, 0.993945431,
2150.355264665, 0.994070702,
2150.375696880, 0.993998663,
2150.396128895, 0.993889291,
2150.416561010, 0.993888951,
2150.436993224, 0.993850884,
2150.457425237, 0.993736045,
2150.477857350, 0.993600307,
2150.498289562, 0.993799086,
2150.518721574, 0.993850843,
2150.559585897, 0.993967281,
2150.580017907, 0.993881074,
2150.600450017, 0.993814823,
2150.620882226, 0.993993086,
2150.682178552, 0.994314106,
2150.702610659, 0.994392348,
2150.723042766, 0.994410809,
2150.743474873, 0.994485602,
2150.763906979, 0.994650520,
2150.784339184, 0.994547480,
2150.804771189, 0.994448311,
2150.825203293, 0.994375621,
2150.845635498, 0.994125742,
2150.866067501, 0.993878065,
2150.886499604, 0.993893078,
2150.906931806, 0.993988187,
2150.927363809, 0.994143252,
2150.947795910, 0.994190580,
2150.968228111, 0.994048387,
2150.988660112, 0.993981024,
2151.009092212, 0.993863743,
2151.029524312, 0.993451163,
2151.049956410, 0.993127813,
2151.070388509, 0.992874781,
2151.090820707, 0.992857544,
2151.111252705, 0.992861725,
2151.131684802, 0.993004081,
2151.152116999, 0.993173664,
2151.172548995, 0.993341164,
2151.192981091, 0.993501388,
2151.213413286, 0.993921920,
2151.233845281, 0.994076782,
2151.274709568, 0.994078024,
2151.295141562, 0.993886992,
2151.315573755, 0.993715694,
2151.336005847, 0.993615042,
2151.356437838, 0.993646502,
2151.376870030, 0.993868145,
2151.397302120, 0.993716558,
2151.438166301, 0.993370410,
2151.458598390, 0.993213211,
2151.499462567, 0.993277563,
2151.519894655, 0.993407893,
2151.540326743, 0.993514459,
2151.560758829, 0.993648594,
2151.581190916, 0.993743713,
2151.601623001, 0.993757809,
2151.622055187, 0.993896225,
2151.642487172, 0.994108050,
2151.662919257, 0.994306907,
2151.683351440, 0.994331628,
2151.703783424, 0.994284366,
2151.724215507, 0.994255483,
2151.744647689, 0.994181222,
2151.785511753, 0.994367360,
2151.805943934, 0.994348153,
2151.826375914, 0.994320744,
2151.846807994, 0.994382260,
2151.867240074, 0.994631223,
2151.908104332, 0.994370787,
2151.928536310, 0.994698826,
2151.948968388, 0.994769298,
2151.969400565, 0.994737114,
2151.989832642, 0.994807064,
2152.010264618, 0.995007713,
