BJD - 2454833, Corrected Flux
2146.452719869, 0.994510057,
2146.473152182, 0.994554134,
2146.514016505, 0.994523431,
2146.534448816, 0.994779561,
2146.554880927, 0.994808662,
2146.575313137, 0.994947839,
2146.595745446, 0.995181518,
2146.616177555, 0.995463114,
2146.636609763, 0.995710786,
2146.657041971, 0.995965695,
2146.677474178, 0.996146130,
2146.697906485, 0.996396199,
2146.718338591, 0.996689940,
2146.738770797, 0.996944806,
2146.759203102, 0.997295032,
2146.779635307, 0.997636846,
2146.800067411, 0.997866853,
2146.820499715, 0.998145057,
2146.840931918, 0.998382259,
2146.861364020, 0.998655894,
2146.881796322, 0.998914279,
2146.902228524, 0.999186164,
2146.922660625, 0.999482983,
2146.943092925, 0.999803224,
2146.963525125, 1.000138356,
2146.983957225, 1.000476712,
2147.004389524, 1.000722609,
2147.024821722, 1.000924519,
2147.045253820, 1.001112672,
2147.065686117, 1.001290011,
2147.086118314, 1.001436598,
2147.106550510, 1.001703552,
2147.126982706, 1.001808788,
2147.147414902, 1.002048238,
2147.167847196, 1.002212904,
2147.188279290, 1.002450533,
2147.208711484, 1.002612032,
2147.229143777, 1.002765422,
2147.270008062, 1.002991898,
2147.290440354, 1.003125482,
2147.310872545, 1.003338929,
2147.331304636, 1.003228418,
2147.351736926, 1.003341938,
2147.372169015, 1.003308403,
2147.392601204, 1.003297946,
2147.413033493, 1.003295452,
2147.433465581, 1.003236435,
2147.494762141, 1.003655732,
2147.515194327, 1.003665528,
2147.535626613, 1.003781279,
2147.556058698, 1.003756560,
2147.576490882, 1.003919199,
2147.596923166, 1.004020048,
2147.617355349, 1.004101284,
2147.637787432, 1.004238197,
2147.658219714, 1.004184986,
2147.678651896, 1.004196346,
2147.699084077, 1.004081755,
2147.719516258, 1.004167279,
2147.739948438, 1.004178514,
2147.760380718, 1.004349477,
2147.801244976, 1.004264944,
2147.821677254, 1.004433242,
2147.842109331, 1.004365083,
2147.862541509, 1.004495485,
2147.882973785, 1.004460075,
2147.903405861, 1.004474074,
2147.923838037, 1.004554839,
2147.944270312, 1.004455815,
2147.985134561, 1.004382546,
2148.005566834, 1.004183551,
2148.025998907, 1.004185190,
2148.046431079, 1.004098744,
2148.066863352, 1.004093031,
2148.087295523, 1.004184119,
2148.107727594, 1.004320394,
2148.128159864, 1.004222419,
2148.148591934, 1.004379549,
2148.169024104, 1.004389583,
2148.189456373, 1.004510254,
2148.209888441, 1.004551301,
2148.230320609, 1.004499543,
2148.250752876, 1.004780671,
2148.271184943, 1.004613046,
2148.291617209, 1.004644981,
2148.312049375, 1.004681233,
2148.332481441, 1.004850510,
2148.352913705, 1.004975152,
2148.373345869, 1.004963008,
2148.393777933, 1.004994395,
2148.414210197, 1.004935299,
2148.434642359, 1.004878383,
2148.475506683, 1.004892373,
2148.495938844, 1.004892774,
2148.516371005, 1.005024264,
2148.536803165, 1.005154775,
2148.557235325, 1.005158853,
2148.577667484, 1.005139274,
2148.598099743, 1.004887107,
2148.618531801, 1.004717996,
2148.638963959, 1.004802595,
2148.659396216, 1.004786820,
2148.679828272, 1.004900530,
2148.700260428, 1.005056731,
2148.720692684, 1.005032227,
2148.741124739, 1.005141191,
2148.761556894, 1.005132164,
2148.781989148, 1.005139000,
2148.802421201, 1.005121839,
2148.822853354, 1.005224062,
2148.843285607, 1.005307034,
2148.863717659, 1.005227159,
2148.884149910, 1.005381919,
2148.904581962, 1.005307054,
2148.925014112, 1.005320160,
2148.945446362, 1.005416379,
2148.965878411, 1.005316974,
2148.986310560, 1.005294827,
2149.006742809, 1.005481823,
2149.027174957, 1.005255683,
2149.047607005, 1.005296045,
2149.068039251, 1.005695697,
2149.088471398, 1.005042299,
2149.108903444, 1.004970255,
2149.129335689, 1.005712607,
2149.149767834, 1.004610871,
2149.170199879, 1.004600961,
2149.190632122, 1.004485804,
2149.211064266, 1.004438854,
2149.231496309, 1.004416593,
2149.272360693, 1.004399310,
2149.292792835, 1.004144938,
2149.313224976, 1.004117602,
2149.333657116, 1.004021777,
2149.374521395, 1.003895779,
2149.394953534, 1.003947705,
2149.415385673, 1.003850489,
2149.456249948, 1.003309021,
2149.497114321, 1.003514916,
2149.558410727, 1.003299078,
2149.578842762, 1.003120574,
2149.599274995, 1.003053718,
2149.619707028, 1.002897881,
2149.640139162, 1.002722572,
2149.660571394, 1.002533102,
2149.681003426, 1.002431132,
2149.701435557, 1.002400138,
2149.742299818, 1.002025231,
2149.762731948, 1.001792339,
2149.783164177, 1.001687503,
2149.803596206, 1.001668447,
2149.824028334, 1.001563326,
2149.844460563, 1.001246381,
2149.864892690, 1.001077596,
2149.885324717, 1.000981384,
2149.905756943, 1.000653822,
2149.946621094, 1.000250478,
2149.967053319, 1.000007110,
2149.987485443, 0.999816628,
2150.007917467, 0.999722458,
2150.028349691, 0.999477058,
2150.048781813, 0.999321037,
2150.089646058, 0.999085651,
2150.110078179, 0.998980367,
2150.130510400, 0.998763248,
2150.171374540, 0.998237781,
2150.191806759, 0.998079552,
2150.212238778, 0.997796070,
2150.232670897, 0.997550675,
2150.253103114, 0.997442036,
2150.273535232, 0.997169764,
2150.293967249, 0.996855854,
2150.314399465, 0.996845368,
2150.334831581, 0.996482121,
2150.355263596, 0.996335147,
2150.375695811, 0.996145783,
2150.396127826, 0.995899755,
2150.416559940, 0.995633500,
2150.436992153, 0.995384957,
2150.457424166, 0.995105136,
2150.477856278, 0.994763011,
2150.498288490, 0.994628311,
2150.518720502, 0.994506255,
2150.539152612, 0.994281993,
2150.559584823, 0.993936593,
2150.580016833, 0.993605942,
2150.600448942, 0.993392605,
2150.682177475, 0.992657591,
2150.702609582, 0.992378690,
2150.723041689, 0.992228744,
2150.743473795, 0.992081284,
2150.784338105, 0.991911664,
2150.804770110, 0.991900498,
2150.825202214, 0.991851063,
2150.845634417, 0.991825490,
2150.866066420, 0.991737830,
2150.886498523, 0.991537071,
2150.906930725, 0.991488695,
2150.927362726, 0.991425926,
2150.947794827, 0.991442961,
2150.968227028, 0.991462895,
2150.988659028, 0.991257884,
2151.009091128, 0.991275383,
2151.029523227, 0.991221208,
2151.049955325, 0.991190787,
2151.070387424, 0.991273869,
2151.090819621, 0.991224665,
2151.111251618, 0.991390174,
2151.131683715, 0.991046367,
2151.152115911, 0.991250520,
2151.172547907, 0.991166912,
2151.192980002, 0.990812373,
2151.213412197, 0.990705801,
2151.233844191, 0.990636369,
2151.254276385, 0.990518018,
2151.274708478, 0.990565667,
2151.295140471, 0.990378014,
2151.315572663, 0.990478727,
2151.336004755, 0.990779563,
2151.356436746, 0.991122586,
2151.376868937, 0.991395517,
2151.417733017, 0.992167364,
2151.438165206, 0.992428458,
2151.458597295, 0.992505172,
2151.479029283, 0.992632547,
2151.499461471, 0.992704277,
2151.519893559, 0.992459371,
2151.540325645, 0.992283346,
2151.560757732, 0.992110924,
2151.581189818, 0.992126521,
2151.601621903, 0.992047650,
2151.622054088, 0.991801368,
2151.642486073, 0.991766114,
2151.662918157, 0.992033991,
2151.683350340, 0.992323041,
2151.703782323, 0.992676741,
2151.724214406, 0.993066800,
2151.744646588, 0.995020973,
2151.785510651, 0.994629371,
2151.805942831, 0.996135450,
2151.826374811, 0.997310871,
2151.846806891, 0.998432065,
2151.867238970, 0.999910464,
2151.908103227, 0.998187146,
2151.928535204, 0.998398786,
2151.948967282, 0.998503141,
2151.969399458, 0.998599479,
2151.989831535, 0.998694636,
2152.010263511, 0.998797970,
