BJD - 2454833, Corrected Flux
2061.305592614, 0.998469237,
2061.326024851, 0.998299845,
2061.346456988, 0.998417781,
2061.366889024, 0.998367328,
2061.387321260, 0.998418345,
2061.407753396, 0.998383012,
2061.428185631, 0.998077078,
2061.509914068, 0.998676543,
2061.530346201, 0.998632522,
2061.550778434, 0.998823181,
2061.571210566, 0.998485497,
2061.591642598, 0.998099041,
2061.612074829, 0.998994196,
2061.632506960, 0.998868742,
2061.652938991, 0.998083511,
2061.673371221, 0.998391110,
2061.693803350, 0.998363557,
2061.714235480, 0.998337045,
2061.734667608, 0.998390728,
2061.755099737, 0.998218304,
2061.775531865, 0.998341903,
2061.795963992, 0.997791567,
2061.816396120, 0.998300374,
2061.836828246, 0.998091702,
2061.857260372, 0.997860555,
2061.877692398, 0.998065553,
2061.898124624, 0.998214849,
2061.918556749, 0.998371363,
2061.938988873, 0.998472071,
2061.959420997, 0.998078871,
2061.979853121, 0.998295562,
2062.000285345, 0.998296134,
2062.020717367, 0.997955622,
2062.041149490, 0.998335349,
2062.061581712, 0.997870179,
2062.082013733, 0.998266365,
2062.102445854, 0.998260707,
2062.122878076, 0.998182621,
2062.143310196, 0.998209610,
2062.163742216, 0.997557565,
2062.225038573, 0.998201653,
2062.245470791, 0.998065695,
2062.265902909, 0.998189738,
2062.286334926, 0.998318039,
2062.306767143, 0.997605185,
2062.327199260, 0.998032921,
2062.347631476, 0.998390147,
2062.368063491, 0.997945562,
2062.388495606, 0.998106532,
2062.408927821, 0.997903893,
2062.429359836, 0.997860225,
2062.449791950, 0.998093436,
2062.470224064, 0.997818275,
2062.490656177, 0.998034967,
2062.511088290, 0.998052003,
2062.531520402, 0.998051179,
2062.551952513, 0.997894487,
2062.572384625, 0.997937628,
2062.613248847, 0.997763833,
2062.633680957, 0.997851372,
2062.654113167, 0.997923161,
2062.674545176, 0.998207809,
2062.694977385, 0.997671135,
2062.715409494, 0.997409005,
2062.735841502, 0.998197102,
2062.756273710, 0.998205322,
2062.776705817, 0.997840696,
2062.797137824, 0.997504912,
2062.838002136, 0.997996308,
2062.858434142, 0.998011431,
