BJD - 2454833, Corrected Flux
2146.452467356, 1.009439700,
2146.472899569, 1.011915050,
2146.513763694, 1.010417752,
2146.534195905, 1.013772349,
2146.575060027, 1.009889766,
2146.595492236, 1.011203490,
2146.615924246, 1.009863150,
2146.636356355, 1.009366057,
2146.656788464, 1.011350749,
2146.677220572, 1.010769615,
2146.697652779, 1.011152668,
2146.718084786, 1.010763271,
2146.738516893, 1.011842322,
2146.758949099, 1.011537335,
2146.779381204, 1.008615439,
2146.799813210, 1.011183389,
2146.820245414, 1.008827092,
2146.840677518, 1.009701378,
2146.881541725, 1.010797259,
2146.901973828, 1.009658764,
2146.922405830, 1.010082718,
2146.942838031, 1.010948869,
2146.963270132, 1.012472676,
2146.983702133, 1.012063433,
2147.004134333, 1.009917932,
2147.024566433, 1.009715041,
2147.044998432, 1.009825597,
2147.065430631, 1.009187516,
2147.085862729, 1.011228326,
2147.106294827, 1.012394042,
2147.126726924, 1.010165907,
2147.147159021, 1.011176408,
2147.167591217, 1.007477755,
2147.188023213, 1.012513078,
2147.208455308, 1.009491532,
2147.228887503, 1.010310257,
2147.249319597, 1.008363923,
2147.269751591, 1.010740582,
2147.290183784, 1.009807862,
2147.310615876, 1.010628390,
2147.331047869, 1.009949029,
2147.351480061, 1.010540869,
2147.371912052, 1.009993054,
2147.392344143, 1.010298963,
2147.412776333, 1.009103866,
2147.433208323, 1.009154086,
2147.453640412, 1.008142211,
2147.494504589, 1.007539696,
2147.514936677, 1.006947630,
2147.535368865, 1.007109221,
2147.555800851, 1.008134975,
2147.576232938, 1.007867440,
2147.596665124, 1.008974104,
2147.617097209, 1.008781534,
2147.637529195, 1.009445563,
2147.657961379, 1.007729260,
2147.678393463, 1.009662695,
2147.698825546, 1.009741078,
2147.719257629, 1.008197655,
2147.739689712, 1.009995976,
2147.760121894, 1.008036750,
2147.780553876, 1.008448417,
2147.800985957, 1.009482203,
2147.821418137, 1.008161902,
2147.841850117, 1.009130499,
2147.862282197, 1.007744294,
2147.882714376, 1.008647703,
2147.903146355, 1.006328140,
2147.923578432, 1.009347430,
2147.944010610, 1.007897120,
2147.984874664, 1.012436914,
2148.005306840, 1.008920087,
2148.025738816, 1.010437321,
2148.046170892, 1.011563300,
2148.066603066, 1.008823240,
2148.087035141, 1.009523446,
2148.107467114, 1.008429722,
2148.127899288, 1.009099030,
2148.148331260, 1.009712619,
2148.168763333, 1.009135743,
2148.189195505, 1.008622049,
2148.209627476, 1.010050054,
2148.230059547, 1.008801576,
2148.250491717, 1.012025523,
2148.270923687, 1.007905396,
2148.291355857, 1.009227604,
2148.311787926, 1.008741318,
2148.332219894, 1.010202162,
2148.352652062, 1.010254917,
2148.373084129, 1.007698123,
2148.393516096, 1.008713491,
2148.413948263, 1.007653856,
2148.434380329, 1.008906314,
2148.475244460, 1.017220958,
2148.495676525, 1.008226705,
2148.516108589, 1.008796571,
2148.556972716, 1.008367164,
2148.577404778, 1.006732921,
2148.597836941, 1.009444029,
2148.618268902, 1.011761625,
2148.638700964, 1.008439226,
2148.659133124, 1.012641267,
2148.679565085, 1.007100609,
2148.699997144, 1.009953554,
2148.720429304, 1.008178463,
2148.740861263, 1.008115193,
2148.761293321, 1.010180992,
2148.781725479, 1.007593068,
2148.802157437, 1.010367670,
2148.822589494, 1.008679931,
2148.843021650, 1.010610530,
2148.863453606, 1.008021006,
2148.883885762, 1.010551012,
2148.904317717, 1.009078980,
2148.924749772, 1.010094227,
2148.945181926, 1.008467493,
2148.965613879, 1.008126102,
2148.986045932, 1.008447603,
2149.006478085, 1.007717171,
2149.026910137, 1.006953602,
2149.047342089, 1.009101980,
2149.067774240, 1.006928002,
2149.088206291, 1.008739023,
2149.108638241, 1.007558380,
2149.129070391, 1.007746303,
2149.149502440, 1.006562540,
2149.169934389, 1.008762589,
2149.190366538, 1.008618295,
2149.210798586, 1.006457370,
2149.231230533, 1.009127899,
2149.251662680, 1.009094379,
2149.272094726, 1.009291218,
2149.292526772, 1.007881125,
2149.312958818, 1.009018359,
2149.333390863, 1.008597683,
2149.353822908, 1.007942137,
2149.374254952, 1.010362552,
2149.394686996, 1.008402841,
2149.415119039, 1.008622603,
2149.455983124, 1.009175581,
2149.476415266, 1.010429894,
2149.496847307, 1.007793433,
2149.517279248, 1.010475297,
2149.537711388, 1.008031061,
2149.558143428, 1.009923613,
2149.578575367, 1.009904617,
2149.599007506, 1.007259972,
2149.619439445, 1.008216590,
2149.639871483, 1.008152268,
2149.660303620, 1.011223848,
2149.680735557, 1.007411502,
2149.701167594, 1.009424947,
2149.721599730, 1.007976796,
2149.742031666, 1.006749989,
2149.762463701, 1.010583021,
2149.782895836, 1.010792622,
2149.803327770, 1.007669549,
2149.823759804, 1.007259010,
2149.864623970, 1.010403299,
2149.885055902, 1.008752303,
2149.905488034, 1.007401079,
2149.946351997, 1.007554567,
2149.966784127, 1.007801405,
2149.987216157, 1.008881420,
2150.007648086, 1.010959464,
2150.028080216, 1.010390051,
2150.048512244, 1.009119561,
2150.089376300, 1.009002083,
2150.109808328, 1.009335345,
2150.130240454, 1.008363977,
2150.150672381, 1.008075095,
2150.171104406, 1.007819779,
2150.191536532, 1.009790457,
2150.211968456, 1.009170782,
2150.232400481, 1.008469858,
2150.252832605, 1.009502147,
2150.273264629, 1.008027846,
2150.293696551, 1.007393393,
2150.314128674, 1.010065354,
2150.334560696, 1.009977966,
2150.354992618, 1.009009237,
2150.375424739, 1.009346083,
2150.395856660, 1.009394411,
2150.416288680, 1.009068668,
2150.436720800, 1.010221739,
2150.457152719, 1.009554898,
2150.477584738, 1.009437713,
2150.498016857, 1.009178691,
2150.518448774, 1.009881860,
2150.538880792, 1.008886683,
2150.559312909, 1.007924976,
2150.579744825, 1.010072117,
2150.600176841, 1.008720286,
2150.620608957, 1.009794987,
2150.641040872, 1.008309611,
2150.681905001, 1.008135929,
2150.702337015, 1.010607970,
2150.722769028, 1.008523361,
2150.743201041, 1.008901762,
2150.763633053, 1.008353208,
2150.784065166, 1.009746928,
2150.804497077, 1.009492134,
2150.824929088, 1.014216069,
2150.845361199, 1.008029318,
2150.865793109, 1.009889958,
2150.886225118, 1.007411565,
2150.906657227, 1.010083889,
2150.927089136, 1.010323299,
2150.947521145, 1.008650751,
2150.967953252, 1.010595365,
2150.988385159, 1.008102694,
2151.008817166, 1.007331165,
2151.029249173, 1.010161672,
2151.049681179, 1.010663670,
2151.070113185, 1.009518524,
2151.090545289, 1.008690134,
2151.110977194, 1.009272694,
2151.131409198, 1.010327682,
2151.151841302, 1.006272007,
2151.172273205, 1.006652139,
2151.192705208, 1.004489387,
2151.213137310, 1.006362820,
2151.233569212, 1.006265894,
2151.254001313, 1.008750988,
2151.274433314, 1.006275154,
2151.294865215, 1.007578031,
2151.315297315, 1.006729081,
2151.335729314, 1.007180997,
2151.356161213, 1.007815919,
2151.376593312, 1.007937854,
2151.397025310, 1.009174169,
2151.417457208, 1.007537427,
2151.437889305, 1.006721129,
2151.458321302, 1.004546628,
2151.478753199, 1.010879720,
