BJD - 2454833, Corrected Flux
2061.305842094, 0.998768851,
2061.346706613, 0.998642403,
2061.367138721, 0.998617649,
2061.387571029, 0.999067536,
2061.408003237, 0.999286073,
2061.428435544, 0.999561122,
2061.489732163, 0.999015476,
2061.510164268, 0.998951321,
2061.530596473, 0.998704437,
2061.551028778, 0.998763127,
2061.571460982, 0.998496914,
2061.591893085, 0.998106060,
2061.612325388, 0.997625454,
2061.632757591, 0.997280545,
2061.653189693, 0.996909216,
2061.673621995, 0.996669296,
2061.694054196, 0.996460248,
2061.714486397, 0.996160509,
2061.734918597, 0.995765524,
2061.755350797, 0.996027248,
2061.775782997, 0.996134698,
2061.816647394, 0.996468694,
2061.837079592, 0.996804943,
2061.857511790, 0.997179564,
2061.877943887, 0.997726097,
2061.898376184, 0.998062011,
2061.918808380, 0.998130006,
2061.939240576, 0.998359733,
2061.959672771, 0.998370475,
2061.980104967, 0.998498534,
2062.000537261, 0.998737241,
2062.020969355, 0.998184589,
2062.041401549, 0.997977810,
2062.061833842, 0.998026789,
2062.082265934, 0.997418870,
2062.102698126, 0.997107039,
2062.123130418, 0.996744143,
2062.143562610, 0.996596866,
2062.163994701, 0.996176909,
2062.225291271, 0.996483254,
2062.245723560, 0.996471365,
2062.266155748, 0.996679137,
2062.286587836, 0.996682976,
2062.307020124, 0.996369270,
2062.327452311, 0.996538379,
2062.347884598, 0.996644457,
2062.368316685, 0.996551465,
2062.388748870, 0.996460197,
2062.409181156, 0.996173340,
2062.429613241, 0.996201250,
2062.450045425, 0.996173235,
2062.470477610, 0.995981083,
2062.490909793, 0.996552569,
2062.511341977, 0.996335275,
2062.531774159, 0.996442406,
2062.552206342, 0.996144089,
2062.572638523, 0.996109916,
2062.593070705, 0.996037647,
2062.613502886, 0.995611103,
2062.633935066, 0.995437080,
2062.654367346, 0.994968423,
2062.674799426, 0.995269190,
2062.695231705, 0.995409491,
2062.715663884, 0.995311847,
2062.736095963, 0.995519256,
2062.756528240, 0.995556042,
2062.776960418, 0.995603714,
2062.797392495, 0.995692154,
2062.817824771, 0.996314289,
2062.838256947, 0.996617106,
2062.858689023, 0.996819962,
2062.879121298, 0.996570938,
2062.899553473, 0.996525620,
2062.919985547, 0.996607814,
2062.940417821, 0.996001219,
2062.960849994, 0.996166528,
2062.981282167, 0.995935107,
2063.001714339, 0.995988980,
2063.022146512, 0.995704562,
2063.042578684, 0.995584373,
2063.063010854, 0.995507809,
2063.083443025, 0.995531559,
2063.103875296, 0.995314543,
2063.124307465, 0.995054374,
2063.144739535, 0.995204614,
2063.165171804, 0.995183007,
2063.185603972, 0.994639874,
2063.206036040, 0.995108061,
2063.226468308, 0.995159722,
2063.246900375, 0.995145086,
2063.267332542, 0.995627556,
2063.287764808, 0.995101950,
2063.308196874, 0.995173211,
2063.328629039, 0.995051725,
2063.349061304, 0.995342355,
2063.369493369, 0.995384323,
2063.389925533, 0.995288779,
2063.410357797, 0.995159811,
2063.430789860, 0.994528951,
2063.451222023, 0.995067258,
2063.471654285, 0.994885739,
2063.492086447, 0.995240059,
2063.512518608, 0.994963597,
2063.532950769, 0.995535968,
2063.553382930, 0.995292555,
2063.573815090, 0.994945175,
2063.594247249, 0.994334701,
2063.614679409, 0.994464568,
2063.635111667, 0.994655066,
2063.696408141, 0.995179029,
2063.716840198, 0.995355223,
2063.737272355, 0.995228942,
2063.757704611, 0.995570367,
2063.778136667, 0.995532795,
2063.798568822, 0.995830516,
2063.819001077, 0.995631854,
2063.839433131, 0.995949079,
2063.859865285, 0.996153136,
2063.880297539, 0.996495417,
2063.900729592, 0.996518275,
2063.921161844, 0.996854388,
2063.941593996, 0.996344695,
2063.962026048, 0.996580864,
2063.982458300, 0.996547086,
2064.002890450, 0.996475760,
2064.023322501, 0.996373669,
2064.043754751, 0.996196535,
2064.064186901, 0.995641006,
2064.084618950, 0.995103103,
2064.105051198, 0.994599248,
2064.125483347, 0.993967804,
2064.554558359, 0.994010924,
2064.574990598, 0.993760537,
2064.595422736, 0.994208890,
2064.615854774, 0.993812002,
2064.636287012, 0.994014735,
2064.656719148, 0.994218085,
2064.738447592, 0.996148658,
2064.758879827, 0.996674472,
2064.779311861, 0.997300786,
2064.799744095, 0.996127248,
2064.820176229, 0.997071114,
2064.840608362, 0.996798122,
2064.861040494, 0.996644211,
2064.922336889, 0.995538555,
2064.942769021, 0.995310861,
2064.963201151, 0.994269300,
2064.983633381, 0.993879372,
2065.004065411, 0.993445852,
2065.024497540, 0.993530103,
2065.044929769, 0.993138332,
2065.065361797, 0.993278690,
2065.085793925, 0.993035043,
2065.106226153, 0.993444374,
2065.126658179, 0.993606685,
2065.147090306, 0.993997962,
2065.167522532, 0.994285521,
2065.187954558, 0.994894469,
2065.208386783, 0.995196896,
2065.228818908, 0.995796174,
2065.249250933, 0.996319000,
2065.269683156, 0.996945194,
2065.290115280, 0.996671279,
2065.310547404, 0.997235734,
2065.330979526, 0.996970370,
2065.351411649, 0.997106336,
2065.371843771, 0.997093180,
2065.392275892, 0.996630044,
2065.412708013, 0.996418334,
2065.433140134, 0.995577893,
2065.453572254, 0.995206235,
2065.474004374, 0.994711467,
2065.494436393, 0.994707113,
2065.514868612, 0.994612896,
2065.535300730, 0.994088937,
2065.555732748, 0.994321277,
2065.576164966, 0.994132305,
2065.596597083, 0.994500728,
2065.657893432, 0.995158385,
