BJD - 2454833, Corrected Flux
2061.305819190, 0.985642235,
2061.326251493, 0.983466933,
2061.346683695, 0.984191226,
2061.367115797, 0.984884623,
2061.387548098, 0.982358217,
2061.407980299, 0.983308227,
2061.428412599, 0.982705491,
2061.489709197, 0.983545521,
2061.510141296, 0.985021256,
2061.530573493, 0.984446546,
2061.551005791, 0.987385436,
2061.571437988, 0.983257567,
2061.591870085, 0.984038363,
2061.612302381, 0.983549446,
2061.632734577, 0.985587875,
2061.653166672, 0.983472136,
2061.673598967, 0.986135876,
2061.694031161, 0.983295059,
2061.714463355, 0.984994797,
2061.734895549, 0.981161981,
2061.755327742, 0.980491748,
2061.775759934, 0.984476035,
2061.796192126, 0.984258091,
2061.816624318, 0.982119417,
2061.837056509, 0.981463540,
2061.857488700, 0.984138103,
2061.877920791, 0.982407522,
2061.898353081, 0.981059152,
2061.918785270, 0.985786091,
2061.939217459, 0.981515493,
2061.959649647, 0.983196240,
2061.980081835, 0.983035594,
2062.000514123, 0.981688974,
2062.020946210, 0.984528933,
2062.041378397, 0.982769972,
2062.061810683, 0.982335830,
2062.082242769, 0.984670604,
2062.102674955, 0.983720247,
2062.123107240, 0.985341922,
2062.143539424, 0.983315335,
2062.163971508, 0.982199367,
2062.225268057, 0.982672179,
2062.245700340, 0.983616464,
2062.266132521, 0.983729050,
2062.286564603, 0.981672841,
2062.306996884, 0.983764927,
2062.327429064, 0.982545018,
2062.347861344, 0.982467509,
2062.368293424, 0.982052928,
2062.388725603, 0.983229704,
2062.409157881, 0.982085345,
2062.429589960, 0.979707811,
2062.450022138, 0.983074546,
2062.470454315, 0.982212070,
2062.490886492, 0.979356822,
2062.511318668, 0.982690523,
2062.531750844, 0.982522036,
2062.552183020, 0.980860587,
2062.572615195, 0.984793506,
2062.593047369, 0.984076815,
2062.613479544, 0.982296918,
2062.633911718, 0.982274616,
2062.654343991, 0.983715922,
2062.674776063, 0.984231129,
2062.695208336, 0.983448487,
2062.715640508, 0.979573954,
2062.736072579, 0.982500593,
2062.756504851, 0.981414698,
2062.776937021, 0.981375889,
2062.797369092, 0.980020863,
2062.817801362, 0.983964701,
2062.838233531, 0.984205156,
2062.858665600, 0.984467333,
2062.879097868, 0.980698407,
2062.899530036, 0.983314938,
2062.919962103, 0.981654263,
2062.940394371, 0.982291638,
2062.960826537, 0.982042480,
2062.981258703, 0.983469116,
2063.001690869, 0.981110893,
2063.022123035, 0.979408081,
2063.042555199, 0.979535806,
2063.062987364, 0.978612637,
2063.083419528, 0.978579320,
2063.103851792, 0.982119422,
2063.124283954, 0.981090377,
2063.144716017, 0.980695569,
2063.165148279, 0.982142279,
2063.185580442, 0.982120046,
2063.206012503, 0.982473979,
2063.226444764, 0.981788713,
2063.246876824, 0.979083785,
2063.267308984, 0.979449384,
2063.287741244, 0.978910241,
2063.308173303, 0.980557830,
2063.328605462, 0.978899964,
2063.349037720, 0.980076264,
2063.369469778, 0.981345175,
2063.389901935, 0.980986146,
2063.410334192, 0.978683411,
2063.430766249, 0.980684067,
2063.451198405, 0.978672967,
2063.471630660, 0.978610240,
2063.492062816, 0.980169260,
2063.512494970, 0.977741422,
2063.532927124, 0.980283725,
2063.553359279, 0.981637891,
2063.573791432, 0.980312466,
2063.594223585, 0.980250071,
2063.614655738, 0.976845157,
2063.635087990, 0.981918437,
2063.696384443, 0.980063041,
2063.716816494, 0.981743072,
2063.737248644, 0.980957394,
2063.757680893, 0.981057138,
2063.778112942, 0.982848748,
2063.798545091, 0.980543178,
2063.818977339, 0.982005489,
2063.839409387, 0.978762765,
2063.859841535, 0.977307694,
2063.880273781, 0.978635880,
2063.900705828, 0.978901907,
2063.921138074, 0.979867994,
2063.941570219, 0.978027891,
2063.962002265, 0.980544427,
2063.982434509, 0.978048973,
2064.002866653, 0.981001875,
2064.023298697, 0.979576027,
2064.043730941, 0.980023161,
2064.064163084, 0.978182411,
2064.084595127, 0.980303667,
2064.105027369, 0.977835987,
2064.125459510, 0.980320470,
2064.554534385, 0.979918370,
2064.574966618, 0.979728938,
2064.595398749, 0.981067668,
2064.615830780, 0.981559983,
2064.636263011, 0.981655689,
2064.656695142, 0.976775536,
2064.738423559, 0.979231511,
2064.758855787, 0.981979723,
2064.799720043, 0.978694795,
2064.820152169, 0.980778227,
2064.840584296, 0.982124940,
2064.861016422, 0.979104788,
2064.922312798, 0.980865661,
2064.942744923, 0.980990188,
2064.963177047, 0.981634922,
2064.983609270, 0.981806559,
2065.004041293, 0.982296661,
2065.024473416, 0.982088701,
2065.044905638, 0.978860942,
2065.065337660, 0.980782196,
2065.085769782, 0.982530862,
2065.106202002, 0.982431552,
2065.126634023, 0.981324536,
2065.147066143, 0.980812824,
2065.167498363, 0.980908593,
2065.187930382, 0.979857401,
2065.208362601, 0.983035305,
2065.228794720, 0.978324468,
2065.249226738, 0.980470046,
2065.269658956, 0.983588452,
2065.290091072, 0.981691551,
2065.310523189, 0.982533769,
2065.330955306, 0.979026295,
2065.351387422, 1.024461236,
2065.371819537, 0.980497359,
2065.392251652, 0.982853335,
2065.412683767, 0.983389002,
2065.433115881, 0.979934181,
2065.453547995, 0.978870936,
2065.473980108, 0.980498184,
2065.494412121, 0.983651526,
2065.514844333, 0.984219026,
2065.535276445, 0.982344024,
2065.555708457, 0.986410983,
2065.576140668, 0.981630841,
2065.596572779, 0.983765706,
2065.657869109, 0.982247932,
2065.678301318, 0.983868337,
2065.698733327, 0.980489675,
2065.719165435, 0.981438171,
2065.739597643, 0.980308376,
2065.760029650, 0.979487378,
2065.780461757, 0.982229672,
2065.800893964, 0.985080642,
2065.821326070, 0.982000217,
2065.841758076, 0.982623701,
2065.862190281, 0.980457662,
2065.882622386, 0.983275924,
2065.903054390, 0.981744856,
2065.923486595, 0.981712858,
2065.943918698, 0.982253853,
2065.964350701, 0.982044048,
2065.984782904, 0.982690312,
2066.005215007, 0.981724837,
2066.025647009, 0.981709312,
2066.046079210, 0.980178686,
2066.066511311, 0.984915466,
2066.086943512, 0.981661644,
2066.148239711, 0.979624213,
