BJD - 2454833, Corrected Flux
2061.305751601, 0.977718141,
2061.326183881, 0.976099243,
2061.346616061, 0.973807760,
2061.367048140, 0.971759288,
2061.407912597, 0.966948056,
2061.428344875, 0.964681591,
2061.489641407, 0.998305796,
2061.510073483, 0.995736143,
2061.530505659, 0.994254090,
2061.571370109, 0.991332569,
2061.591802183, 0.989513324,
2061.612234457, 0.988794090,
2061.632666631, 0.988136090,
2061.653098704, 0.987787722,
2061.673530977, 0.987634679,
2061.693963149, 0.988337789,
2061.714395320, 0.988690416,
2061.734827492, 0.988862464,
2061.755259663, 0.989548159,
2061.775691833, 0.990011308,
2061.796124003, 0.990436314,
2061.816556173, 0.991167252,
2061.836988342, 0.992680592,
2061.857420511, 0.994185790,
2061.877852579, 0.995068250,
2061.898284847, 0.996739905,
2061.918717014, 0.997890944,
2061.939149181, 0.998703174,
2061.959581347, 1.000797024,
2061.980013513, 1.001033100,
2062.000445779, 1.001948107,
2062.020877844, 1.003517751,
2062.041310009, 1.004459539,
2062.061742273, 1.006483747,
2062.082174337, 1.008419989,
2062.102606500, 1.010841778,
2062.123038763, 1.012872352,
2062.143470926, 1.016305420,
2062.163902988, 1.020020862,
2062.225199471, 1.001709986,
2062.245631732, 1.002614234,
2062.266063891, 1.002881442,
2062.286495951, 1.003099426,
2062.306928210, 1.002660795,
2062.327360368, 1.002363503,
2062.347792626, 1.001442377,
2062.368224684, 1.001015538,
2062.388656841, 1.005094761,
2062.409089098, 1.006595368,
2062.429521155, 1.006697601,
2062.449953311, 1.008251446,
2062.470385466, 1.008730197,
2062.490817621, 1.009601524,
2062.511249775, 1.008411745,
2062.552114083, 1.007484158,
2062.572546237, 1.007878917,
2062.592978389, 1.008241586,
2062.613410542, 1.002767738,
2062.633842694, 1.000684923,
2062.654274945, 0.996586169,
2062.674706997, 0.996933544,
2062.695139247, 0.995332497,
2062.715571397, 0.991229967,
2062.736003447, 0.987200144,
2062.756435696, 0.983439841,
2062.776867845, 0.981242489,
2062.797299894, 0.978691975,
2062.817732142, 0.981950170,
2062.838164290, 0.985185964,
2062.858596337, 0.986687453,
2062.879028583, 0.988274633,
2062.899460730, 0.987618704,
2062.919892776, 0.987547095,
2062.940325021, 0.987848351,
2062.960757166, 0.987959116,
2062.981189311, 0.988182646,
2063.001621454, 0.989127558,
2063.022053598, 0.990493000,
2063.062917884, 0.992588419,
2063.083350027, 0.993862864,
2063.103782269, 0.994864361,
2063.124214410, 0.995979917,
2063.144646451, 0.996746384,
2063.165078692, 0.997375071,
