BJD - 2454833, Corrected Flux
2061.305914583, 0.995184408,
2061.326346914, 0.994657956,
2061.346779145, 0.994816369,
2061.367211275, 0.994930029,
2061.387643605, 0.994961787,
2061.408075835, 0.994567894,
2061.428508164, 0.994671154,
2061.489804848, 0.997096615,
2061.510236975, 0.997178740,
2061.530669202, 0.997097852,
2061.551101528, 0.996799980,
2061.571533754, 0.996724391,
2061.591965879, 0.996746596,
2061.612398204, 0.996346768,
2061.632830428, 0.996558725,
2061.653262552, 0.996708613,
2061.673694876, 0.996626143,
2061.694127099, 0.996238421,
2061.714559321, 0.996308345,
2061.734991543, 0.996368236,
2061.755423764, 0.996407388,
2061.775855986, 0.996364252,
2061.796288206, 0.996493412,
2061.816720427, 0.996356304,
2061.837152646, 0.996258099,
2061.857584865, 0.996173688,
2061.878016984, 0.996535558,
2061.898449302, 0.996458228,
2061.918881520, 0.996290913,
2061.939313738, 0.996506139,
2061.959745955, 0.996289870,
2061.980178171, 0.996439122,
2062.000610487, 0.996624483,
2062.021042603, 0.996543248,
2062.041474818, 0.996566177,
2062.061907133, 0.996513143,
2062.082339247, 0.996574793,
2062.102771461, 0.996560138,
2062.123203774, 0.996943982,
2062.143635987, 0.996695420,
2062.164068099, 0.996746843,
2062.225364733, 0.996958595,
2062.245797044, 0.997018315,
2062.266229254, 0.996936760,
2062.286661364, 0.996826737,
2062.307093673, 0.997109915,
2062.327525881, 0.996895101,
2062.347958190, 0.997125482,
2062.368390298, 0.996851440,
2062.388822505, 0.997114220,
2062.409254812, 0.997136355,
2062.429686918, 0.996920149,
2062.450119124, 0.997313562,
2062.470551330, 0.996982878,
2062.490983534, 0.996894394,
2062.511415739, 0.997255227,
2062.531847943, 0.996951888,
2062.552280147, 0.997042658,
2062.572712350, 0.997404158,
2062.593144553, 0.997137521,
2062.613576755, 0.996945111,
2062.634008957, 0.997315944,
2062.654441259, 0.996939705,
2062.674873359, 0.997030070,
2062.695305660, 0.997187146,
2062.715737860, 0.996988007,
2062.736169959, 0.997332011,
2062.756602259, 0.997038523,
2062.777034457, 0.997049412,
2062.797466555, 0.997143661,
2062.817898853, 0.997263279,
2062.838331051, 0.997155032,
2062.858763147, 0.996911084,
2062.879195444, 0.996975017,
2062.899627640, 0.996779645,
2062.920059735, 0.996895495,
2062.940492030, 0.996705519,
2062.960924225, 0.996743249,
2062.981356419, 0.996827148,
2063.001788612, 0.996902273,
2063.022220806, 0.996685214,
2063.042652998, 0.996555136,
2063.063085191, 0.996770158,
2063.083517383, 0.996487031,
2063.103949674, 0.996568044,
2063.124381865, 0.996647785,
2063.144813956, 0.996712585,
2063.165246246, 0.996805224,
2063.185678435, 0.996422637,
2063.206110524, 0.996373649,
2063.226542813, 0.996430691,
2063.246974902, 0.996351997,
2063.267407089, 0.996567661,
2063.287839376, 0.996647955,
2063.308271464, 0.996448048,
2063.328703650, 0.996748163,
2063.349135936, 0.996807395,
2063.369568021, 0.996797841,
2063.390000207, 0.996798503,
2063.410432491, 0.996941429,
2063.430864575, 0.996634093,
2063.451296759, 0.996760304,
2063.471729042, 0.996857808,
2063.492161225, 0.996835816,
2063.512593407, 0.996855275,
2063.533025589, 0.996807568,
2063.553457771, 0.996868021,
2063.573889952, 0.996816959,
2063.594322132, 0.996816408,
2063.614754313, 0.996778874,
2063.696483129, 0.996822650,
2063.716915207, 0.996781435,
2063.737347384, 0.996674871,
2063.757779661, 0.996652400,
2063.778211738, 0.996617555,
2063.819076189, 0.996551259,
2063.839508265, 0.996771492,
2063.859940440, 0.996430628,
2063.880372714, 0.996711805,
2063.900804788, 0.996438360,
2063.921237061, 0.996475237,
2063.941669234, 0.996647820,
2063.962101307, 0.996893836,
2063.982533579, 0.996879627,
2064.002965751, 0.996977577,
2064.023397822, 0.996836835,
2064.043830092, 0.996692624,
2064.064262263, 0.996765167,
2064.084694333, 0.996552993,
2064.105126602, 0.996761291,
2064.554634217, 0.996379551,
2064.575066476, 0.996848752,
2064.595498635, 0.996859045,
2064.636362952, 0.997199017,
2064.656795109, 0.996829759,
2064.738523634, 0.996622855,
2064.758955889, 0.996707644,
2064.779387944, 0.996819536,
2064.799820199, 0.997072992,
2064.820252353, 0.997083154,
2064.840684506, 0.996885496,
2064.861116659, 0.996995474,
2064.922413116, 0.997428371,
2064.942845267, 0.997319013,
2064.963277418, 0.997485118,
2064.983709668, 0.997363045,
2065.004141718, 0.997605174,
