BJD - 2454833, Corrected Flux
2061.305730366, 0.996125233,
2061.326162642, 0.995818113,
2061.346594817, 0.995983588,
2061.367026892, 0.995454771,
2061.387459166, 0.995394203,
2061.407891341, 0.995120859,
2061.489620132, 0.994187022,
2061.510052204, 0.995415963,
2061.530484376, 0.995656798,
2061.550916646, 0.995468955,
2061.571348817, 0.994495045,
2061.591780887, 0.994206710,
2061.612213157, 0.994818556,
2061.632645326, 0.994534911,
2061.653077394, 0.994248170,
2061.673509663, 0.994438392,
2061.693941831, 0.993659008,
2061.714373998, 0.993827370,
2061.734806165, 0.993911594,
2061.755238332, 0.993890622,
2061.775670498, 0.993968461,
2061.796102664, 0.993886198,
2061.816534828, 0.993507763,
2061.836966993, 0.993970429,
2061.857399158, 0.993387806,
2061.877831222, 0.993729221,
2061.898263485, 0.993458855,
2061.918695648, 0.993351409,
2061.939127810, 0.993699919,
2061.959559973, 0.993270889,
2061.979992135, 0.993419175,
2062.000424396, 0.993732772,
2062.020856457, 0.993774233,
2062.041288617, 0.993487836,
2062.061720877, 0.993004833,
2062.082152936, 0.992809975,
2062.102585096, 0.992978009,
2062.123017354, 0.994231719,
2062.143449512, 0.993608267,
2062.163881570, 0.993164890,
2062.225178041, 0.993077925,
2062.245610297, 0.992606381,
2062.266042452, 0.993028639,
2062.286474507, 0.992769577,
2062.306906762, 0.992655010,
2062.327338916, 0.992613149,
2062.347771170, 0.992799989,
2062.368203223, 0.992915622,
2062.388635377, 0.993021674,
2062.409067629, 0.993511556,
2062.429499681, 0.993176846,
2062.449931832, 0.992444155,
2062.470363984, 0.992748257,
2062.490796135, 0.992598949,
2062.511228285, 0.993257622,
2062.531660435, 0.993279289,
2062.552092584, 0.992375807,
2062.572524733, 0.993237260,
2062.592956882, 0.992862444,
2062.613389030, 0.991599287,
2062.633821178, 0.992956577,
2062.654253425, 0.992569525,
2062.674685472, 0.992664916,
2062.695117718, 0.992185138,
2062.715549864, 0.992449213,
2062.735981910, 0.992356579,
2062.756414155, 0.992543454,
2062.776846300, 0.992283457,
2062.797278344, 0.992809511,
2062.817710587, 0.993333372,
2062.838142731, 0.992840237,
2062.858574774, 0.992364981,
2062.879007016, 0.992101697,
2062.899439159, 0.991640557,
2062.919871200, 0.991854014,
2062.940303441, 0.991992908,
2062.960735582, 0.991975628,
2062.981167723, 0.991922512,
2063.001599862, 0.992609592,
2063.022032002, 0.991940755,
2063.042464141, 0.991879439,
2063.062896279, 0.991695121,
2063.083328418, 0.991557379,
2063.103760656, 0.992082358,
2063.124192793, 0.992366671,
2063.144624830, 0.991453631,
2063.165057066, 0.992131975,
2063.185489202, 0.991533375,
2063.205921238, 0.991714832,
2063.226353473, 0.991776967,
2063.246785508, 0.991821066,
2063.267217642, 0.991762809,
2063.287649876, 0.992122457,
2063.308081910, 0.991482583,
2063.328514042, 0.991364446,
2063.348946275, 0.992442068,
2063.369378307, 0.991906479,
2063.389810439, 0.992002948,
2063.410242670, 0.991663481,
2063.430674701, 0.991231046,
2063.451106832, 0.991812039,
2063.471539062, 0.991060495,
2063.491971191, 0.990965059,
2063.512403320, 0.991415331,
2063.532835449, 0.991121469,
2063.553267577, 0.991193173,
2063.573699705, 0.991281720,
2063.594131833, 0.991035608,
2063.614563960, 0.990928791,
