x y flux
6542.518660497604 1419.1988459655784 313.2460478712618
6478.492055334649 1500.443296980558 1042.0963437718149
6766.9557294617225 1509.5083357734734 1331.0657583305615
6808.348742775437 1521.151160146022 294.9616906534136
6540.481041379711 1525.19372660776 1087.770127803534
6383.7358295726735 1540.2056804635008 14397.131411500572
6333.7272323716825 1548.9215274955427 1482.2487830741334
6979.009900029872 1555.0121617665136 222.45306707441802
6784.228541324214 1557.974480656204 1902.8565871408955
6469.097483218441 1584.7311571474177 790.2314605617896
6723.249814528898 1617.9139276707251 2218.8327052880077
6912.261088835097 1618.3351457552014 1821.5016676925493
6710.747289421656 1625.4532950858093 2218.439549726061
6827.938630060897 1636.5233217038754 1199.4431071589881
6047.2992957653205 1644.0504608501992 2628.8669866358123
6972.312361504954 1652.4764443294093 1201.4833607770136
7128.7833352344305 1682.4489123396272 7030.745931525451
6846.6734853766875 1694.1841273751802 896.0198971870542
5933.52217471411 1685.028315962178 50051.707647558454
6960.61323808877 1705.9327760027327 636.2346611451358
5983.871713396518 1735.549831246691 876.0932400158788
6385.203464057647 1760.3905252265636 444.0263107037172
6966.930603982348 1776.6708492310388 577.8922668264065
5620.643045320156 1786.0613061998813 1518.353050886989
5571.20912633472 1802.4105782639208 1613.9697657051313
7073.03144830326 1805.8692318356748 1827.8415843787418
5531.069105046701 1815.7517743960311 1517.6810501286388
5682.779312883817 1816.5252247222545 983.7402646366135
6262.594442322433 1827.3081151265042 3952.7366568231946
7164.015321337048 1830.7200007678412 257.2838216738776
5728.937953467118 1832.0620757138222 225.9579533240571
5768.567142062892 1842.4593528657904 1177.2013141698028
5451.909022457238 1866.9999599960686 141.7423139947653
5458.889083805179 1897.9482845920456 265.9102180962266
5923.694340994663 1912.8247907803152 968.7429355730864
7093.872072245376 1934.7954604677511 1990.0010447527095
7106.137929618699 1934.2334978122792 1992.2055781004574
6859.456079459691 1938.2846906619588 14993.452620889246
7135.763674562294 1979.4297347708548 1288.073422014825
5201.50045646479 1995.9998347099634 177.40222560252988
5083.253998980751 2004.8895766633088 712.5029301133377
5095.306553287303 2057.051078691061 268.1304013014211
4899.312616233194 2060.379867847329 1628.210040692091
5778.128256770686 2060.1529825882167 442.9031108332797
4894.495549044095 2068.6187337530305 1627.8321740124
5269.923999078445 2078.8380622144405 7559.546456415356
5028.1265935288975 2086.9306351006417 1335.119089703374
4680.228104457688 2095.100824867382 4013.3734507768972
7225.2620744107 2113.0464717784175 2404.9980283605314
4784.954818624755 2125.3071617759288 950.7253247221188
4768.565133413175 2132.8248867916427 4077.8866979764416
4751.587698758478 2137.676572428831 3592.25283641316
5231.996033080433 2130.339577447166 50175.16694315196
6386.716608738994 2151.2840366861683 340.48293432310226
4785.326515571437 2163.864649798697 1426.8026466339832
5022.557612256352 2175.867241937799 1038.3681620531524
4372.155174613014 2198.551610435367 1285.5497569296133
5846.821864928812 2217.18953720013 231.67137691173707
5033.484077585645 2218.0511514554782 284.3132447114585
7072.7849032133645 2246.2567277591424 1030.0036364278192
4439.479800347935 2248.5383309362273 1479.1744647833702
4532.006515770274 2248.5221358910694 1649.6275245171778
4413.9998315532475 2255.9996373934146 276.4687997249142
5347.682093746631 2258.536909310143 451.67235876474507
7189.453874487166 2261.984697800833 1422.3113538211585
4433.30670585439 2284.0089914730497 325.514488756433
7198.220170812705 2296.17466942888 1401.8631849796316
4422.007136110181 2306.434593114266 1147.252888046466
5855.156198925185 2321.9739166251406 785.8480880503731
4454.091114364805 2325.9999709129966 108.0916432866454
4082.8034271742267 2354.823179305713 213.9153831707686
4468.065435877857 2373.5465930383675 719.6189251205327
4316.085982950937 2381.786624853075 1414.1675344549117
5692.782576083678 2392.3441082503646 373.31004157532004
3585.562196517784 2409.4395193931755 297.2343994752689
4706.987644386377 2411.304367613186 259.03777594204996
4319.94960866788 2422.922139635553 866.4723420349137
3647.2280640047547 2435.0601739836334 2075.03642156385
6054.6765482536375 2433.6632035889074 9306.816100027117
3620.9570666082723 2436.541905971715 11163.030654436798
5230.31843296724 2451.054733451098 271.0619553795086
4783.964525816743 2456.289451929526 239.09253488250073
6051.747497170509 2458.0269841186373 571.1995550922303
4578.9611135742925 2457.6517925805892 5683.083190281614
6418.0345236458925 2463.6844635865973 324.59626773178564
6524.24235298311 2465.4964498061368 520.1355574081093
3301.186608220148 2467.0025537728825 378.6297777984662
3503.8069302290864 2482.4879115042113 1929.5255716336144
3748.2456553568563 2482.3418796381898 1297.7065635590625
5229.72146661984 2485.952253355781 268.3488004035129
6177.024065768248 2493.0082283397132 196.25777815144514
6866.483324084661 2513.49317521171 479.51928881261495
3383.5069146335145 2522.2788931566565 2423.0841545410462
3419.897218405079 2526.432048394964 2427.524069352596
6800.95988322093 2546.504500042628 279.79262357946493
3559.8350895645985 2553.8963173968045 585.883277871683
6873.797897569337 2550.2341022907153 11484.32200103461
5304.573725334482 2558.3126300524077 506.2565307835119
3486.9999072433175 2580.909002096021 106.54933199219407
5108.284565576008 2579.0484729771915 18653.91464267253
3219.306381353566 2601.3817957624387 392.5791092967987
5129.641229587795 2604.9173676966416 522.5648920299116
7269.065984626727 2603.433452453287 2598.6431557579344
3363.998649022972 2611.684159388415 1392.076791933402
7230.56920249809 2654.272184382731 1045.8742945902795
3267.3071719903055 2674.9744210348244 415.39644262760874
4197.926424241276 2679.939930600302 320.38088991790994
3374.988871404052 2686.2428638655733 360.23173165962083
3548.0038602056857 2687.0509395291715 347.6271991646663
6914.301300327047 2695.9772343268723 287.9612440180035
2993.9999498130333 2703.000053267758 561.7821299962334
5626.9435203723415 2718.2647310172433 1296.8174231505768
4533.658138566119 2722.3773170144436 1087.3284444132826
6737.528267583306 2739.2650363452603 5005.296813494861
7315.073630465953 2759.264312950486 666.3479056337845
2475.3106409148895 2762.2835470212544 407.45173227090373
5323.7491571953 2767.694824878748 1317.5274703929203
2629.991853045556 2770.371363581313 786.7438117404281
6914.015938546364 2776.336358649085 6403.703353964984
3210.669089444494 2779.5980110739947 652.4108412199095
3826.567669639995 2787.917411117658 446.2222205204887
2816.481411925694 2792.743992950476 1634.6407841527844
5648.722510194905 2799.047464293394 252.41911143369973
7030.967150446523 2804.973245303596 332.02070986993596
2518.2978048023197 2806.211074325322 1554.902833465673
3748.99720109317 2809.4828158081996 228.7904004717618
6459.023609032141 2834.777159511378 541.0671061739329
2386.178358333893 2849.5891623155553 2173.665305973961
3260.3051979835686 2850.9597026734145 240.7337787454948
4255.982415781536 2869.9822982283254 750.567912974171
6465.2904156109735 2870.879502008145 622.5155553791298
2245.4921307345335 2896.4023898987457 752.0513834292813
6015.957994268118 2899.2537466056206 352.42213255431494
5113.84929788163 2908.9991535393333 517.2069355900583
3852.834853716917 2912.178423909608 671.3924456518143
2502.187704326454 2919.8432293899555 384.82559707816677
3155.946535739028 2919.1371886812503 801.5974232971665
3948.9602664220874 2935.2140618272356 359.37324725870036
5105.088060629508 2944.375203682315 362.5840882595628
4133.706845136048 2951.982488551002 246.9126227091253
1858.5764392226959 2954.725211730873 782.7273859985171
7365.110442099122 2955.361758098856 1899.0198785797506
2230.586708456462 2964.4706785050525 965.2815862326322
6926.521967798862 2967.2352190784977 392.26898013152163
4590.612771244351 2970.3982924301977 1127.4020494316892
2011.8191931558943 2972.21636744261 1916.7799680327985
6539.392794819914 2984.6114453335217 463.56729350171986
6391.804246920996 2995.5036085339275 2117.2973969154423
7440.887770463333 3042.2750490751064 2808.2048442789564
6202.815607459985 3061.829912764773 2105.4400596514347
7360.166578277705 3078.021344011607 388.3232007553054
1774.1867233752566 3079.67308560335 2245.4517076099296
6196.407577557474 3080.877550920478 3959.402783168109
5571.160248539785 3084.8393973747893 248.24542190123364
5929.3171314873325 3083.116357777231 5824.415638526605
2530.1319956966945 3089.4812021717257 640.5627519204465
4291.484037886477 3090.4409871004973 323.9580460372938
3376.500500153477 3093.9985949252623 538.8645338261126
1849.980617245219 3099.904495998316 1685.1916105202595
4631.272140183716 3103.920422179477 628.1791131187231
1674.9941384514107 3113.6250092426894 1191.4395535078647
2917.244505661187 3127.572659987748 912.1583167517184
2161.0888266129377 3131.9960237769565 713.9391036239639
6303.823123541987 3135.3648914188584 290.48044388759894
2834.8657668131996 3144.83048359523 320.4717326994986
3869.9668465556615 3146.4950693362325 297.2412438645961
6900.947811535627 3150.632374031789 1161.7010687204831
2721.8904751521964 3170.058670609124 2980.1126796253025
